(44) @ACT 10:1	@<p-n> Atos  10:1</p-n>	<p>Morava em Cesareia um centurião do exército romano chamado Cornélio, comandante de um regimento conhecido como Italiano.  
(44) @ACT 10:2	@<p-n> Atos  10:2</p-n>	<p>Ele era um homem piedoso que tinha fé em Deus como também toda sua família. Praticava a caridade com boa vontade e orava continuamente a Deus.  
(44) @ACT 10:3	@<p-n> Atos  10:3</p-n>	<p>Certa tarde, por volta das três horas, ele teve uma visão. Nessa visão ele viu claramente um anjo de Deus, que veio na direção dele e disse: “Cornélio!”   </p>
(44) @ACT 10:4	@<p-n> Atos  10:4</p-n>	<p>Cornélio ficou olhando para ele, cheio de medo. “O que o Senhor quer?”, perguntou ao anjo.  </p><p>O anjo respondeu: “As suas orações e suas boas obras subiram como oferta diante de Deus!  
(44) @ACT 10:5	@<p-n> Atos  10:5</p-n>	<p>Agora, mande alguns homens a Jope procurar um certo Simão, também conhecido como Pedro,  
(44) @ACT 10:6	@<p-n> Atos  10:6</p-n>	<p>que está hospedado com Simão, o curtidor, na beira da praia, e peça que venha visitar você”.   </p>
(44) @ACT 10:7	@<p-n> Atos  10:7</p-n>	<p>Logo que o anjo foi embora, Cornélio chamou dois dos servos da sua casa e um soldado piedoso da sua guarda pessoal,  
(44) @ACT 10:8	@<p-n> Atos  10:8</p-n>	<p>disse o que tinha acontecido e enviou todos a Jope.   </p>
(44) @ACT 10:9	@<p-n> Atos  10:9</p-n>	<p>No outro dia, quando eles estavam se aproximando da cidade, por volta do meio-dia Pedro subiu ao terraço da casa dele para orar.  
(44) @ACT 10:10	@<p-n> Atos  10:10</p-n>	<p>Ele estava com fome, porém, enquanto preparavam o almoço, teve uma visão.  
(44) @ACT 10:11	@<p-n> Atos  10:11</p-n>	<p>Ele viu o céu aberto e um grande lençol de pano grosso, preso pelas quatro pontas, que descia ao chão.  
(44) @ACT 10:12	@<p-n> Atos  10:12</p-n>	<p>No lençol havia toda espécie de animais, répteis da terra e aves do céu.  
(44) @ACT 10:13	@<p-n> Atos  10:13</p-n>	<p>Então uma voz lhe disse: “Levante-se, Pedro; mate e coma”.   </p>
