ប្រុស​ដើមទ្រូង​ប្រាំ​ហត្ថ	<p><strong>និយមន័យៈ</strong>&nbsp; កាតព្វកិច្ច​អ្នក​ដែល​បាន​បួស​ជា​ភិក្ខុភាវៈ&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p>ពាក្យ​ថា ប្រុស​ដើមទ្រូង​៥​ហត្ថ​នេះ​ជា​ពាក្យ​ទំនឹម​ទំនៀម​ខ្មែរ​មាន​មក​ជា​យូរ​ហើយ&nbsp;។ ពាក្យ​នេះ លោក​មិនមែន​សំដៅ​យក​មនុស្ស​ប្រុស​គ្រប់​ទាំងអស់​ទេ គឺ​លោក​ចុច​សំដៅ​ចំពោះតែ​បុរស​ណា​ដែល​បាន​ឧបសម្បទា​ជា​ភិក្ខុ​ប៉ុណ្ណោះ&nbsp;។ ព្រោះ​ភិក្ខុសង្ឃ​តាម​ពុទ្ធ​ប្បញ្ញត្តិ តម្រូវ​ឲ្យ​មាន<strong>​វត្ថពន្ធទ្រូង</strong>​សម្រាប់​ចង​ក្រវាត់​ទ្រូង ពីលើ​សង្ឃាដី​កុំ​ឲ្យ​ធ្លាក់​រយីក​រយាក&nbsp;។ វត្ថពន្ធទ្រូង​នេះ តាម​ពុទ្ធ​ប្បញ្ញត្តិ​តម្រូវ​ឲ្យធ្វើ​ទទឹង​ប្រហែល​បី​ចំអាម​ព្រះ​សុគត និង​បណ្តោយ​ប្រវែង ៥​ហត្ថ&nbsp;។​</p><p>តាម​ការ​បកស្រាយ​របស់​លោកគ្រូ​ធម្មាចារ្យ​ខ្លះ បានឲ្យ​ដឹង​ថា <strong>៥​ហត្ថ​</strong>នេះ ជា​តំណាង​ឲ្យ​បុគ្គល​ ៥​ពួក គឺ <i>មាតា​១ បិតា​១ គ្រូ​១</i> (គ្រូឧបជ្ឈាយ៍ និង​គ្រូលេខ​អក្សរ) <i>ប្រពន្ធ​១ កូន​១</i>&nbsp;។</p><p>មូលហេតុ​ដែល​នាំ​ឲ្យ​លោក​ធ្វើ​បំណកស្រាយ​បែប​នេះ ព្រោះ​លោក​ចាត់​ទុក​ថា អ្នក​ដែល​បាន​បួស​ជា​ភិក្ខុភាវៈ​មាន​ការ​ចេះ​ច្បាប់​គតិ​លោកគតិ​ធម៌​ជ្រៅជ្រះ&nbsp;។ ដូច្នេះ នៅ​ពេល​ដែល​គេ​លាចាក​សិក្ខាបទ​មក​ជា​គ្រឹហាវាស​វិញ គេ​ត្រូវ​ដឹង​នូវ​ឧបការគុណ មាតា បិតា គ្រូ និង​សង្គ្រោះ​ប្រពន្ធ​កូន ដែល​ជា​ប្រពៃណី​ដ៏​ល្អ​របស់​ខ្មែរ&nbsp;៕</p>
ប្រាជ្ញ​ចុះ​រណ្ដៅ ខ្លៅ​ឡើង​ស្ថានសួគ៌	<p><strong>និយមន័យៈ</strong>&nbsp; បរិយាកាស​ពុក​រលួយ និង​បដិវត្តន៍ ធ្វើ​ឲ្យ​អ្វីៗ​ត្រលប់​ធាតុ​ទាំងអស់&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p>នៅ​ក្នុង​បរិយាកាស​ពុក​រលួយ​ដល់​ឆ្អឹង គេ​ពុំ​សូវ​គិតគូ​ពី​គុណសម្បត្តិ​ប៉ុន្មាន​ទេ&nbsp;។ គឺ​គេ​យក​សម្ភារៈ ឬ​លុយ​កាក់​ជា​ធំ​ជា​ចម្បង​លើស​អ្វីៗ​ទាំងអស់&nbsp;។ ដូច្នេះ​មនុស្ស​អវិជ្ជា​ក៏​ដោយ​ ឲ្យ​តែ​មាន​លុយ គឺ​អាច​ទិញ​សញ្ញាប័ត្រ បុណ្យ​សក្តិ ឬ​មុខ​តំណែង​ខ្ពស់​បាន&nbsp;។ រីឯ​អ្នកចេះ​ដឹង គឺ​ពួក​អ្នកប្រាជ្ញ​បញ្ញវន្ត​ ដោយ​អាង​មាន​ចំណេះ​ដឹង និង​សមត្ថភាព​ពេញ​ខ្លួន មិន​ចាំបាច់​សូក​ប៉ាន់​គេ​នោះ ច្បាស់​ជា​អង្គុយ​កេះ​ក្រចក​នៅ​កៀនជញ្ជាំង​ដែល​លោក​ថា អ្នកប្រាជ្ញ​ចុះ​រណ្ដៅ​ហើយ​ពេល​ហ្នឹង&nbsp;។</p><p>ម្យ៉ាងទៀត​នៅ​ពេល​ប្រទេស​ជាតិ​មាន​បដិវត្តន៍​ម្តងៗ​អ្វីៗ​ត្រូវ​ប្រែប្រួល​ត្រលប់ត្រលិន​ខុស​ទម្លាប់​ទាំងអស់&nbsp;។ ដូចជា​គេ​យក​មនុស្ស​ចេះ​ដឹង បញ្ញវន្ត បណ្ឌិត វិស្វករ&nbsp;។ល។ ទៅ​សម្លាប់​ពេញៗ​រណ្តៅ&nbsp;។ រួច​ហើយ​ពួក​វា​បន្តុប​មនុស្ស​អវិជ្ជា ចោរហារយ​ដែល​ធ្លាប់តែ​លួច​គោ​ទៅ​លក់​ឲ្យ​បរទេស ​ឲ្យ​ឡើង​កាន់​តំណែង​ធំ​ខ្ពស់&nbsp;។ល។ ព្រោះ​ពួក​ទមិឡ​ឥត​សាសនា​នេះ​ ឥត​ត្រូវការ​អ្នកចេះ​ដឹង​ទេ មាន​ពួក​ខ្មែរក្រហម​ជាដើម&nbsp;។</p><p>ហេតុនេះ​ហើយ​បានជា​លោក​ថា <i>ប្រាជ្ញ​ចុះ​រណ្តៅ ខ្លៅ​ឡើង​ស្ថានសួគ៌</i>&nbsp;៕</p>
បង់បោយ​មិន​មើល​ប្រាណ ដាំ​ជើងក្រាន​មិន​ប្រមាណ​ឆ្នាំង	<p><strong>និយមន័យៈ</strong>&nbsp; ទង្វើ និង​ឥរិយាបថ​មិន​សម​ស្រប​នឹង​ឋានៈ​ខ្លួន&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><h3>បង់បោយ​មិន​មើល​ប្រាណ</h3><p>មនុស្ស​ខ្លះ​ធ្វើ​អ្វីៗ​មិន​ចេះ​គិតគូរ​ឲ្យ​សម​ស្រប​នឹង​ឋានៈ​របស់​ខ្លួន​ទេ ដូចជា ​ខ្លួន​មាន​ឋានៈ​តូច​ទាប​តែ​ធ្វើ​ឫក​ដូចជា​មេកោយ​គេ&nbsp;។ ការ​និយាយ​ស្តី​ទៀត​សោត ក៏​ពុំ​សម​ស្រប​ទៅ​នឹង​ឋានៈ​ខ្លួន​ដែរ&nbsp;។ បើ​គេ​និយាយ​ពី​ច្បាប់ គេ​ហាក់​ធ្វើ​ដូច​ខ្លួន​បណ្ឌិត​ច្បាប់ បើ​និយាយ​ពី​ការ​សាងសង់ គេ​ធ្វើ​ហាក់ដូច​ខ្លួន​ជា​វិស្វករ​សំណង់&nbsp;។ បើ​មាន​ពិធី​អ្វីៗ​ផ្សេងៗ ចូល​ចិត្ត​ធ្វើខ្លួន​ឲ្យ​គេ​មើល​មក​ថា ខ្លួន​ជា​អ្នកមុខ​អ្នកការ រៀប​ចាត់ចែង​កម្មវិធី&nbsp;។​</p><h3>ដាំ​ជើងក្រាន​មិន​ប្រមាណ​ឆ្នាំង</h3><p>ក្នុង​ន័យ​នេះ ក៏​មាន​ខ្លឹមសារ​ដូច​ខាងលើ​ដែរ គ្រាន់តែ​លោក​ពោល​ប្រៀបធៀប​បែប​ជា​អត្ថប្បដិរូប​ប៉ុណ្ណោះ ព្រោះ​អ្នក​ដែល​រៀប​កំណល់​ធ្វើ​ជើងក្រាន​មិន​បាន​គិត​ទៅ​ដល់​ទំហំ​ឆ្នាំង​តូច ឬ​ធំ​នោះ គឺជា​មនុស្ស​ល្ងង់ខ្លៅ​មិន​ចេះ​ប្រមាណ​ក្នុង​ការងារ&nbsp;៕</p>
បាតដៃ​ក៏​សាច់​ខ្នង​ដៃ​ក៏​សាច់	<p><strong>និយមន័យៈ&nbsp;</strong> សម្រេចសេចក្តី​មិន​បាន​ព្រោះ​ញាតិ​ទាំង​ពីរ​ខាង&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><h3>អត្ថានុរូប</h3><p><strong><i>សាច់</i> </strong>គឺជា​បឋវីធាតុ​នៃ​រាង​កាយ​របស់​មនុស្ស និង​សត្វ បន្ទាប់​ពី​ស្បែក​ទៅ​ស្រោប​ឆ្អឹង&nbsp;។ ដូច្នេះ បើ​គេ​លើក​បាតដៃ​ឡើង​មើល គេ​ឃើញ​ថា បាតដៃ​ក៏​មាន​សាច់ ខ្នងដៃ​ក៏​មាន​សាច់&nbsp;។ ម្យ៉ាងទៀត សាច់​ក៏​ជា​សញ្ញាណ​សម្គាល់​នូវ​ញាតិពន្ធ​ផង​ដែរ ដូចជា សាច់​ញាតិ សាច់​សារ​លោហិត ជាដើម&nbsp;។</p><h3>អត្ថប្បដិរូប</h3><p>ពាក្យ​ថា <strong><i>សាច់</i></strong> នៅ​ពេល​នេះ សំដៅយក​<i>សាច់ញាតិ</i> ឬ​ <i>សាច់​សារ​លោហិត</i>&nbsp;។ ខ្លឹមសារ​ក្នុង​និយមន័យ​ខាងលើ​នេះ បំណង​លោក​អ្នក​បង្កើត​ពាក្យ​នេះ​ឡើង គឺ​ក្នុង​ការ​អ្វី​ដែល​និយាយ​មិន​ចេញ និង​កាត់សេចក្តី ឬ​សម្រេច​សេចក្តី​ឲ្យ​ទៅ​ជា​យ៉ាងណា​ពុំ​កើត&nbsp;។ ដោយសារ​តែ​ទើសទាល់&nbsp;។ ព្រោះ​ខាងស្តាំ​ក៏​បង​ប្អូន ខាងឆ្វេង​ក៏​បងប្អូន ឬថា ខាង​នេះ​ក៏​សាច់ ខាង​នោះ​ក៏​សាច់&nbsp;។ ដូច្នេះ មិនដឹង​ជា​ត្រូវ​ថា​ឲ្យ​ខាង​ណា​ត្រូវ ខាង​ណា​ខុស​បាន​ឡើយ&nbsp;។​</p><p>ម្យ៉ាងទៀត​ ប្រសិនបើ​ដឹង​ថា ខាង​នេះ​ត្រូវ ខាង​នោះ​ខុស ក៏​នៅ​តែ​សម្រេច​សេចក្តី​ឲ្យ​ខាង​ណា​ត្រូវ ខាង​ណា​ខុស​ពុំ​បាន​ដែរ&nbsp;។ ករណី​បែប​នេះ​ហើយ​ដែល​លោក​ពោល​ថា បាតដៃ​ក៏​សាច់ ខ្នងដៃ​ក៏​សាច់&nbsp;៕</p>
បើ​ល្ងង់​កុំ​ចង់​ធ្វើ​ចេះ បើ​អត់​តម្រិះ​កុំ​ចង់​ធ្វើ​ធំ	<p><strong>និយមន័យៈ</strong>  កុំ​ចង់​ធ្វើ​អ្វី​ឲ្យ​ហួស​សមត្ថភាព​ខ្លួន ។</p><h2>អត្ថាធិប្បាយ</h2><h3>បើ​ល្ងង់​កុំ​ចង់​ធ្វើ​ចេះ</h3><p>សឹងតែ​ជា​ការ​ធម្មតា​ទៅ​ហើយ <strong>មនុស្ស​ល្ងង់​</strong>មិន​ដែល​ដឹង​ថា​ខ្លួនឯង​ល្ងង់​ទេ បើសិន​ជា​ដឹង​ក៏​ព្យាយាម​បិទ​បាំង​នូវ​ភាព​អវិជ្ជា​របស់​ខ្លួន​ ដោយ​ខំប្រឹង​ធ្វើ​ឫក​ជា​អ្នក​ណាស់ ។ ការ​និយាយ​ស្ដី​ក៏​ខំប្រឹង​បញ្ចេញ​នូវ​វោហារ​សព្ទ ម៉េតប្រាយ​ឲ្យ​គេ​អួត​ថា​ខ្លួន​គ្រាន់បើ​ ពូកែ​និយាយ​មិន​ចេះ​អស់​ពាក្យ ។ ប៉ុន្តែ​អ្នក​ដែល​គេ​ចេះ​ដឹង​ច្រើន​ជាង គេ​ស្តាប់​ទៅ​គេ​ដឹង​ភ្លាម​ថា មនុស្ស​នេះ​និយាយ​គ្មាន​វគ្គ គ្មាន​ឃ្លា វិលវល់​ដដែលៗ​ដូច​គេ​អុំទូក​ក្នុង​បឹង ។ ដូច្នេះ​វា​គ្មាន​ចេះ​អី​វា​ទេ មុន​នឹង​វា​និយាយ​បាន​ប៉ុណ្ណឹង គឺ​វា​សួរ​គេ​ច្រើន​នាក់​ណាស់​ហើយ ខំប្រឹង​ទន្ទេញ​មិន​ស្ទើរ​ដែរ ។</p><h3>បើ​អត់​តម្រិះ​កុំ​ចង់​ធ្វើ​ធំ</h3><p>ខ្លឹមសារ​នៃ​ពំនោល​នេះ ក៏​មាន​ន័យ​ប្រហាក់ប្រហែល​នឹង​ពំនោល​ខាងលើ​ដែរ គឺ​លោក​ពោល​ទប់ស្កាត់​មនុស្ស​អវិជ្ជា កុំឲ្យ​ជ្រួលច្របល់​ចង់​ធ្វើ​ធំ​ មិន​ស្គាល់​សមត្ថភាព​ខ្លួន​ខ្លាំង​ពេក&nbsp;។ ព្រោះ​មនុស្ស​អវិជ្ជា​តែង​មាន​មហិច្ឆតា ស្ទុះស្ទារ​ ត្រហេបត្រហប ចង់​បាន​សក្តិ​ឬ​មុខ​តំណែង​ធំ​ណាស់&nbsp;។ ប្រសិនបើ​បាន​ធ្វើ​ធំ​ហើយ គឺ​ក្រាញននៀល​តោង​ស្អិត ខាំ​ស្មៅ​មិន​ងាយ​របេះ​ទេ&nbsp;។ ព្រោះ​ដឹងខ្លួន​ថា បើ​ឲ្យ​របេះ​ក៏​មិន​ងាយ​ឡើង​វិញ​បាន​ដែរ&nbsp;៕</p>
បើ​មិន​ជួយ​ចូកចែវ កុំ​យក​ជើង​រាទឹក	<p><strong>និយមន័យៈ </strong> បើ​មិន​បាន​ជួយ​ធ្វើការ​គេ កុំមក​ធ្វើ​ឲ្យ​យឺត​ការងារ​គេ ។</p><h2>អត្ថាធិប្បាយ</h2><h3>អត្ថានុរូប</h3><p>ទូក​តូច​ធំ កាលណា​ធ្វើ​ដំណើរ​ទៅ​មុខ​បាន លុះត្រាតែ​គេ​ដោល គេ​អុំ ឬ​ចែវ&nbsp;។ ដូច្នេះ អ្នក​ដែល​ត្រូវធ្វើ​ឲ្យ​ទូក​មាន​ចលនា​ទៅ​មុខ​បាន គឺ​ប្រឹង​បញ្ចេញ​ពលកម្ម​ខ្លាំង​ណាស់ និង​ហត់​ខ្លាំង​ណាស់​ដែរ&nbsp;។</p><p>ឯ​អ្នក​ដែល​នៅ​ស្ងៀម​កណ្តាល​ទូក កុំ​យក​ជើង​ដាក់​ក្នុង​ទឹក​នាំ​ឲ្យ​ស្ទះ ឬ​កាត់​បន្ថយ​ល្បឿន​របស់​ទូក&nbsp;។</p><h3>អត្ថប្បដិរូប</h3><p>ទង្វើ​អ្វីមួយ​ដែល​គេ​កំពុង​ធ្វើ បើ​មិន​បាន​ជួយ​ធ្វើ​គេ​ទេ កុំទៅ​មាន​យោបល់​ជំទាស់​កិច្ចការ​គេ ទុក​ឲ្យ​គេ​ធ្វើ​តាម​ដំណើរ​គេ​ទៅ​ចុះ&nbsp;។ ដូចជា&nbsp;៖</p><ul><li>អ្នកខ្លះ​ពេល​គេ​ធ្វើ​កិច្ចការ​រួចរាល់​ហើយ ទើប​ទៅ​និយាយ​ថា​ ធ្វើ​បែប​នេះ​មិន​ល្អ មិន​ត្រូវ គឺ​ខុស​យ៉ាងនេះ​យ៉ាងនោះ ។</li><li>ខ្លះ​ទៀត​ពេល​គេ​កំពុង​ធ្វើ ដើរទៅ​ឈរ​របៀប​ជា​បន្ទោស​គេ​ថា ធ្វើ​ខុស​បែបបទ បើ​ធ្វើ​បែប​នេះ​វិញ ទើប​ត្រឹមត្រូវ ។</li></ul><p>ករណី​ទាំង​អស់នេះ សុទ្ធតែ​បន្ទុច​បង្អាក់​ធ្វើ​ឲ្យ​រាំងស្ទះ និង​យឺត​ដំណើរ​ការងារ​គេ ដែល​លោក​ហៅ​ថា បើ​មិន​ជួយ​ចូកចែវ កុំមក​ត្រេងត្រាង​យក​ជើងរា​ទឹក&nbsp;៕</p>
បាន​បាប​មិន​ឆ្អាប​មាត់	<p><strong>និយមន័យៈ&nbsp;</strong> ធ្វើបាប​កម្ម តែ​មិន​បាន​ទទួលផល ឬ​មិន​បាន​ធ្វើ​បាបកម្ម ត្រលប់​ជា​រង​បាបកម្ម​វិញ&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p>ការ​ប្រព្រឹត្ត​នូវ​<strong><i>បាបកម្ម​</i></strong>មួយ​ដោយ​មាន​បំណង​នឹង​យក​ផល ប៉ុន្តែ​ផលប្រយោជន៍​នោះ​ពុំ​បាន​ផ្តល់​មក​ឲ្យ​អ្នក​ធ្វើ​នោះ​វិញ​ទេ ត្រលប់​ជា​បាន​ទៅ​អ្នក​ដទៃ​វិញ&nbsp;។ ដូច្នេះ​ <i>អ្នក​ធ្វើ​បាប​ត្រឹមតែ​ទទួល​នូវ​បាបកម្ម​ប៉ុណ្ណោះ</i>&nbsp;។ ដូចជា&nbsp;៖</p><ul><li>ព្រានប្រមាញ់​ម្នាក់​បាញ់​សត្វ​ឈ្លូស​មួយ​ក្បាល&nbsp;។ ប៉ុន្តែ​ឈ្លូស​នោះ ពុំ​បាន​ងាប់​ភ្លាម​ទេ វា​រត់​ទៅ​ដេក​ងាប់​ក្នុង​ព្រៃ​បាត់​ទៅ&nbsp;។ ដូច្នេះ ព្រានប្រមាញ់​នោះ បាន​ត្រឹមតែ​ធ្វើ​បាបកម្ម​ប៉ុណ្ណោះ គេ​ឥត​ទទួល​បាន​ផល​ពី​អំពើ​បាប​នោះ​ឡើយ&nbsp;។</li><li>នៅ​ក្នុង​អង្គភាព​មួយ អ្នកដឹកនាំ​ប្រព្រឹត្ត​អំពើ​ពុក​រលួយ​ស៊ីសំណូក​គ្មាន​ប្រណី&nbsp;។ លុះ​ដល់​មាន​បញ្ហា ផល​អាក្រក់​នេះ​ធ្លាក់​ទៅ​លើ​សហការី​ដែល​គ្នា​ឥត​បាន​ដឹង​អ្វី​បន្តិច​សោះ&nbsp;។</li></ul><p>ទាំង​អស់នេះ សុទ្ធតែ​បាន​បាប​មិន​ឆ្អាប​មាត់ ព្រោះ​អត់​បាន​ស៊ី&nbsp;៕</p>
ប្រពន្ធ​ល្អ​ច្រើន​ចាញ់​ប្តី	<p><strong>និយមន័យៈ&nbsp;</strong> ប្រពន្ធ​ដែល​មាន​លក្ខណៈ ៥​យ៉ាង ​ភាគច្រើន​ប្ដី​ចាញ់&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p>ក្នុង​ន័យ​ប្រពន្ធ​ល្អ​នៅ​ពេល​នេះ លោក​ពោល​សំដៅ​យក<i>​ស្ត្រី​ដែល​មាន​លក្ខណៈ​សម្ប័ទ ៥​យ៉ាង</i>&nbsp;។ ឯ​ពាក្យ​ថា ច្រើន​ចាញ់​ប្ដី គឺ​ប្ដី​ភាគច្រើន​ទេ​ជា​អ្នក​ចាញ់&nbsp;។ បានជា​លោក​ប្រើ​ពាក្យ «<i>ច្រើន</i>» នោះ ព្រោះ​គង់នៅ​មាន​ប្ដី​អវិជ្ជា​ខ្លះ មិន​ព្រម​ចាញ់​ប្រពន្ធ​ដែល​មាន​លក្ខណៈ​សម្ប័ទ​ទាំង​ ៥​យ៉ាង​បែប​នេះ មក​ពី​ភាព​ល្ងង់ខ្លៅ​របស់​គេ​ ដូចជា​គេ​បាន​មាស​ហើយ​ មិន​ស្គាល់​មាស​ដូច្នោះ​ឯង&nbsp;។ ពាក្យ​ថា លម្អ​ដោយ​លក្ខណៈ​សម្ប័ទ ​៥​យ៉ាង​នោះ​គឺ&nbsp;៖</p><ul><li>មាន<i>​រូប​ស្អាត​ស្រស់​ត្រកាល</i> គួរ​ជាទី​គយគន់</li><li>មាន​<i>ទ្រព្យ​ធនធាន​ច្រើន</i> មិន​ភ័យ​ព្រួយ​ពី​រឿង​ខ្វះខាត</li><li>មាន​<i>កិត្តិយស​ថ្លៃថ្នូរ</i> ទោះ​ទៅ​ទីណា​ក៏​មាន​គេ​ស្រលាញ់​រាប់អាន​ច្រើន</li><li>មាន<i>​សីលធម៌​ខ្ពស់</i> មាន​ចរិយា​សម្ប័ទ​ជា​នារី​ប្រកបដោយ​គន្លង​ធម៌</li><li>មាន​<i>បុត្</i>រ ដែល​ជា​មរតក​ស្នង​ត្រកូល</li></ul><p>បើ​ប្រពន្ធ​មាន​លក្ខណៈ​សម្ប័ទ ៥​យ៉ាងនេះ​ហើយ ប្តី​សឹងតែ​ទាំងអស់​ត្រូវ​តែ​ខ្លាច និង​ចាញ់​ប្រពន្ធ​ដោយ​ស្វ័យប្រវត្តិ តួយ៉ាង​ដូចជា​ <strong>នាង វិសាខា</strong> ក្នុង​ពុទ្ធសម័យ​ជា​ភស្តុតាង​ស្រាប់ គឺ​ប្ដី​លុតជង្គង់​ចាញ់​នាង​វិសាខា ហើយ​លើកតម្កើង​ប្រពន្ធ​ទុក​ដូច​ម្តាយ (មាតុ​ភរិយា)&nbsp;៕</p>
បាយ​បិណ្ឌ​ជា​បាយបាត្រ	<p><strong>និយមន័យៈ</strong>&nbsp; ភាព​មិន​ប្រាកដនិយម&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p><strong><i>បាយបិណ្ឌ</i> </strong>លោក​សំដៅយក​បាយ​ដែល​ពុទ្ធបរិស័ទ​នាំ​យក​ទៅ​ធ្វើ​ទាន​ដល់​វត្ត​អារាម​ក្នុង​រយៈកាល ១៥​ថ្ងៃ ១​រោច​ដល់ ១៥​រោច&nbsp;។ <strong><i>បាយបាត្រ</i></strong> លោក​សំដៅយក​បាយ​ដែល​ព្រះសង្ឃ​និមន្ត​ទៅ​ទ្រង់​បាត្រ​តាម​មូលដ្ឋាន គឺ​ទៅ​ដល់​ផ្ទះសំបែង​ពុទ្ធបរិស័ទ&nbsp;។</p><p>ការ​ដែល​លោក​លើក​ពាក្យ​នេះ​មក​ពោល​ គឺ​លោក​ចង់​ដៅ​ទៅ​ដល់​កិច្ចការ​ណា ឬ​ទង្វើ​ណា​ដែល​មាន​ភាព​ច្របូកច្របល់​ ត្រលប់​ត្រលិន​ សា​ចុះ​សា​ឡើង ​មិន​ច្បាស់លាស់​ជា​អ្វី&nbsp;។</p><p>ដូច្នេះ​ ពាក្យ​នេះ​ពុំ​មែន​ជា​ពាក្យ​ប្រៀនប្រដៅ​អ្វី​ទេ គឺជា​ពាក្យ​សម្រាប់​បន្ទោស​ទៅ​លើ​អ្នក​ណា​ម្នាក់ ដែល​ធ្វើ​កិច្ចការ​អ្វីមួយ​មិន​ច្បាស់លាស់​ មិន​ប្រាកដប្រជា ដូចជា&nbsp;៖</p><p>ប្រធាន​ម្នាក់​បញ្ជា​ឲ្យ​សហការី​ធ្វើ​កិច្ចការ​អ្វីមួយ ដែល​ជិត​រួចរាល់​ទៅ​ហើយ ស្រាប់តែ​បញ្ជា​ឲ្យ​កែប្រែ​បែប​យ៉ាងនេះ​យ៉ាងនោះ​ទៅ​វិញ កែ​ចុះ​កែ​ឡើង​មិន​ច្បាស់​ជា​យ៉ាងណា&nbsp;។ ករណី​បែប​នេះ លោក​ថា​ ច្របូកច្របល់​ត្រលប់​ត្រលិន បាយបិណ្ឌ​ជា​បាយបាត្រ យក​ជា​ការ​ពុំ​បាន&nbsp;៕</p>
ប្លង់​នៅ​នឹង​មាត់ បន្ទាត់​នៅ​នឹង​ភ្នែក	<p><strong>និយមន័យៈ</strong>&nbsp; ទង្វើ​គ្មាន​ក្រឹត្យ​ក្រម&nbsp;។</p><h2>អត្ថាធិប្បាយ</h2><p>ធម្មតា​ការ​សាងសង់ ឬ​ទង្វើ​អ្វីមួយ គេ​តែង​ធ្វើ​គម្រោង ឬ​ប្លង់​ដែល​មាន​ឧបករណ៍ និង​ក្បួនខ្នាត​យ៉ាង​ត្រឹមត្រូវ ទើប​គេ​ចាប់ផ្តើម​ការ​សាងសង់​ទៅ​តាម​លក្ខណៈ​បច្ចេកទេស​តាម​ក្រោយ&nbsp;។</p><p>ចំណែក​អ្នក​ដែល​ធ្វើ​ប្លង់​ធ្វើ​គម្រោង​ដោយ​មាត់​នោះ មិន​ប្រាកដជា​បាន​ត្រឹមត្រូវ​ទាំងអស់​ទេ គឺ​ជួន​ត្រូវ ជួន​ខុស&nbsp;។ ព្រោះ​ការ​និយាយ​ថា​ភ្លាមៗ​មិន​បាន​ពិចារណា​ឲ្យ​ម៉ត់ចត់​ឡើយ&nbsp;។</p><p>ឯ​បន្ទាត់​នៅ​នឹង​ភ្នែក​ក៏​ដូច​គ្នា​ដែរ គឺ​គេ​មើល​ទិស មើល​ទី​វាស់​តម្រង់​នឹង​ភ្នែក​ម្ខាង ដោយ​ឥត​ប្រើ​ឧបករណ៍​ខ្សែបន្ទាត់ ឬ​កែវស្ទង់&nbsp;។ ទង្វើ​បែប​នេះ ក៏​ពុំ​ប្រាកដជា​ត្រង់ ឬ​ស្មើ​ល្អ​ដែរ&nbsp;។ ព្រោះ​ភ្នែក​មនុស្ស​មាន​ល្អៀង​ឆ្វេង​-​ស្តាំ លើ​ក្រោម​ជា​ធម្មតា&nbsp;។ ម្យ៉ាងទៀត បើ​ភ្នែក​មនុស្ស​តម្រង់​ធ្វើ​ជា​ខ្សែបន្ទាត់​បាន​ត្រឹមត្រូវ​មែន​នោះ ម្ល៉េះ​សម​អ្នកបច្ចេកទេស​មិន​បង្កើត​កែវ​ស្ទង់​ជា​ឧបករណ៍​សម្រាប់​ស្ទង់​មក​ធ្វើ​អ្វី​ទេ&nbsp;។</p><p>ហេតុនេះ​ហើយ​បានជា​លោក​តែង​បន្ទោស​ថា អ្នក​ដែល​យក​មាត់​ធ្វើ​ប្លង់​ យក​ភ្នែក​ធ្វើ​ខ្សែបន្ទាត់​តម្រង់ គឺជា​មនុស្ស​ខ្ជិល ឬ​ខ្ជីខ្ជា ព្រោះ​វា​មិន​នាំ​មក​នូវ​ភាព​សុក្រឹត​ឡើយ&nbsp;៕</p>
