aba	share, offer, dedicate, <p-eg> *Kwaaba mapopwe aaya bweelede.* = Share this maize in the right manner. *Mukaintu wa Joojo ulaaba cakulya kubeenzu bamuswaya.* = Joojo's wife shares the food with those who visit her. *Ncibotu kulyaaba kuli Leza.* = It is good to dedicate yourself to God. Extensions of the verb are as follows: </p-eg><p-c>(1. passive) -abwa <p-c>(2. perfect) -abide <p-c>(3. causative) -abya <p-c>(4. prepositional) -abila <p-c>(5. completive) -abilalyo <p-c>(6. intensive) -abisya <p-c>(7. repetitive) -aba-aba <p-c>(8. mutuality) -abana </li></ol>
Note:	All verbs follow a *similar pattern* of extensions, although not all may be included after each verb depending on the frequency of actual use. </li></ol>
abana	share with one another, rt. -aba, <p-eg> *Kamwaabana mungu ooyu, bana.* = Children, share this pumpkin with one another. *Basimuswaangano bakaabana mizeezo mibotu mumuswaangano wabo.* = The participants shared good ideas in their meeting. </p-eg><p-c>(1. -abanwa, 2. -abanidwe, 3.-abanisya, 4. -abanina, 5. -abaninalyo, 6. -abanisya, 7. -abana-abana)</li></ol>
abanya	distribute, rt. -aba, <p-eg> *Kwaabanya nyika cilakatazya.* = It is difficult to share the land. *Mwiiyi naakasika wakatwaabanya mabbuku toonse.* = When the teacher arrived, s/he distributed books to all of us.</p-eg></li></ol>
abide	be dedicated, <p-eg> *Ndililyaabide kuya kumulela a bana benu.* = I have dedicated myself to looking after you and your children. *Ooyu mukaintu ulyaabide kubamba mukwasyi wakwe.* = This woman has dedicated herself to looking after her family.</p-eg></li></ol>
abila	give to, rt. -aba, <p-eg> *Kobaabila mbede yabukoko bakaapanyoko.* = Give this clay drinking-container of beer to your grandmother. *Baama bakandiyiisya kuti ndileelede kubalumba bantu akubaabila cakulya ncejisi.* = My mother taught me that I ought to thank people and share with them the food I have.</p-eg></li></ol>
aduula	split stones or wood by repeated blows, <p-eg> *Musankwa waaduula nkuni zyamucitofwu.* = The boy is splitting firewood for the stove. </p-eg><p-c>(1.-aduulwa, -2. aduulide, 3. -aduuzya, 4. -aduulila, 5. -aduulilayo, 6. -aduulisya, 7. -aduula-aduula) <p-n>Also: -andaula, -pandaula. <li> cut cloth, <p-eg> *Ndajana musimbi uwaduula mulembo kutegwa asume cibaki.* = I found the girl cutting the cloth to sew a blouse. </p-eg><li> operate, <p-eg> *Basilisi baaduula mulwazi.* = The surgeons are operating on the patient. </p-eg><p-n>Also: -pandula.</li></ol>
aka	fill up, <p-eg> *Kamwaaka mapopwe musaka.* = Fill the sack with maize. *Komwaaka cakulya mulwazi nkaambo takonzyi kulisanina alikke.* = Put the food in (the mouth of) the patient because he cannot feed himself. *Mwana naalila liya, me nkumwaaka mpopwe kumulomo kuti aumune.* = When the child cried at that time, I stuffed a cob of maize in it's mouth so that it would be quiet. </p-eg><p-c>(1.-akwa, 2.-akide, 3.-akisya, 4.-akila, 5.-akilalyo, 6.-akisya, 7.-aka-aka, 8.-akana.)</li></ol>
akanika	fail to know, <p-eg> *Ndaakanika kuzyiba muntu wakabba mali angu.* = I have failed to know the person who stole my money. </p-eg><p-n>Also: -zimininwa, -alilwa, -kakilwa.</li></ol>
akila	fill for, rt. -aka, <p-eg> *Komwaakila musankwa nyemu musaka atole kubacembele.* = Fill the bag for the boy with  groundnuts so that he can take it to the old woman.</p-eg></li></ol>
akula	take out from, remove, as meal from grinding stone or porridge from a pot, <p-eg> Kwaakula musozya wazukila. = Take the samp out of the mortar as it is ready. (i.e. The first pounding has removed the outer skins from all the grain pellets.) </p-eg><p-c>(1.-akulwa, 2.-akulide, 3. -akuzya, 4. -akulila, 5.-akulilalyo, 6.-akulisya, 7.-akula-akula, 8.-akulwidana) <p-n>Also: -apula</li></ol>
akulila	take out for, rt. -akula, <p-eg> Komwaakulila mapopwe aali muncili Cheelo. = You take out the maize for Cheelo which is in the mortar. </p-eg><p-n>Also: -akwida.</li></ol>
akulula	take back, take out again, rt. akula, <p-eg> Cilakatazya kwaakulula nyama mubwa njaabikka kale mukanwa. = It is hard to take out a piece of meat which a dog has already put in its mouth. </p-eg><p-n>Also: -akununa</li></ol>
akununa	take out, <p-eg> Kunyina muntu ukonzya kwaakununa nyama iili mukanwa lyaciwena pe. = No person is able to remove the meat which is in the mouth of the crocodile. </p-eg><p-n>Also: -akulula</li></ol>
akwida	take out for, rt. -akula, <p-eg> Komwaakwida musozya mwana, wazukila. = Take out the samp from the mortar for the child, it is ready. </p-eg><p-n>Also: -akulila</li></ol>
