title	text
ຈັງຫວັດປັດຕານີ	<p>ແຂວງປັດຕານີ (, ມະລາຍູ: كراجأن ڤتاني; Kerajaan Patani, ອັງກິດ: Pattani, ຈີນ: 北大年 Běidànián) ເປັນແຂວງໃນພາກໃຕ້ປະເທດໄທ ອານາເຂດ. ແຂວງປັດຕານີ ມີອານາເຂດຕິດຕໍ່ດັງນີ້ ບັນດາເມືອງໃນການປົກຄອງ. ຂົງເຂດໃນການປົກຄອງຂອງແຂວງແບ່ງໄດ້ 12 ເມືອງ/ອຳເພີ 115 ຕຳບົນ 642 ບ້ານ ການຄົມມະນາຄົມ. ໄລຍະທາງຈາກເມືອງປັດຕານີໄປເມືອງຕ່າງໆ ໄລຍະທາງຈາກເມືອງປັດຕານີໄປແຂວງໃກ້ຄຽງ ປະຫວັດສາດ. ຫຼັກຖານທີ່ມາຈາກເອກະສານເກົ່າແກ່ບູຮານຂອງແຜ່ນຈາລຶກຈີນ ອາຣັບ ຈາວາ ມາເລເຊຍ ແລະອິນເດຍ ທີ່ປະກົດວຊື່ເມືອງສຳຄັນບ່ອນໜຶ່ງໃນໃນແຫຼມມາລາຍູ ເຊິ່ງອອກສຽງຕາມສຳນຽງໃນແຕ່ລະພາສາເຊັ່ນ: ຫຼັງຍາຊູ, ຫຼັງຍາຊີຈຽງ (ພາສາຈີນໃນພຸດທະສະຕະວັດທີ 11-12 ແລະ 16-18),ລັງກາໂສກະ,ອິລັງກາໂສກະ (ພາສາຈີນໃນພຸດທະສະຕະວັດທີສັນສະກິດ ພາສາທະມິນ ໃນພຸດທະສະຕະວັດທີ 9 ແລະ 16),ເລັງກະສຸກະ (ພາສາຈາວາ ພຸດທະສະຕະວັດທີ 20),ລັງຄະສຸກະ (ພາສາອາຣັບ ພຸດທະສະຕະວັດທີ 21),ລັງກະສຸກະ,ລັງກາສຸກະ (ພຸດທະສະຕະວັດທີ 24) ຊື່ທີ່ສະແດງຢູ່ນີ
ຈັງຫວັດນະລາທິວາດ	<p>ຈັງຫວັດນະລາທິວາດ ແມ່ນຈັງຫວັດໃນພາກໃຕ້ຂອງປະເທດໄທຈັງຫວັດໜຶ່ງ.</p>
ຈັງຫວັດນະຄອນສີທຳມະລາດ	<p>ຈັງຫວັດນະຄອນສີທຳມະລາດ ແມ່ນຈັງຫວັດໃນພາກໃຕ້ຂອງປະເທດໄທຈັງຫວັດໜຶ່ງ.</p>
ອານາຈັກສຸໂຂໄທ	<p>ອານາຈັກສຸໂຂໄທ (ໄທ: อาณาจักรสุโขทัย)​ ຫຼື ລັດສຸໂຂໄທ (ໄທ: รัฐสุโขทัย)​ ແມ່ນອານາຈັກ ຫຼືລັດໃນອະດີດທີ່ເຄີຍຕັ້ງຢູ່ປະເທດໄທປັດຈຸບັນ. ຕັ້ງຢູ່ເທິງທີ່ທົ່ງພຽງແມ່ນ້ຳຍົມ ແມ່ນຊຸມຊົນບູຮານມາຕັ້ງແຕ່ຍຸກເຫຼັກຕອນປາຍ ຈົນຮອດສະຖາປະນາຂຶ້ນຮາວພຸດທະສະຕະວັດທີ 18 ໃນຖານະສະຖານີການຄ້າຂອງລັດລະໂວ້ ຫຼັງຈາກນັ້ນຮາວປີ 1800 ພໍ່ຂຸນບາງກາງຫາວແລະພໍ່ຂຸນຜາເມືອງໄດ້ຮ່ວມກັນເຮັດການຍຶດອຳນາດຈາກຂອມສະບາດໂຂນລຳພົງ ເຊິ່ງເຮັດການເປັນຜົນສຳເລັດແລະໄດ້ສະຖາປະນາເອກະລາດໃຫ້ສຸໂຂໄທເປັນລັດອິສະຫຼະແລະມີຄວາມຈະເລີນຮຸ່ງເຮືອງຕາມລຳດັບແລະຕື່ມເຖິງສຸດຂີດໃນສະໄໝພໍ່ຂຸນຮາມຄຳແຫງມະຫາລາດ ກ່ອນຈະຄ່ອຍໆ ຕົກຕ່ຳແລະປະສົບປັນຫາພາຍນອກແລະພາຍໃນ ຈົນຕໍ່ມາຖືກຮວມແມ່ນສ່ວນໜຶ່ງອານາຈັກອະຍຸທະຍາໄປໃນທີ່ສຸດ ບ່ອນຕັ້ງແລະອານາເຂດ. ອານາຈັກສຸໂຂໄທ ຕັ້ງຢູ່ເທິງເສ້ນທາງການຄ້າຜ່ານແຫຼມລະຫວ່າງອ່າວເມາະຕະມະ ແລະທີ່ຮາບລຸ່ມແມ່ນ້ຳໂຂງຕອນກາງ ມີອານາເຂດດັ່ງນີ້ ການແຊກແຊງຈາກອະຍຸດທະຍາ. ຫຼັງຈາກພໍ່ຂຸນຮາມຄຳແຫງແລ້ວ ເມືອງຕ່າງ
ອານາຈັກທົນບຸຣີ	<p>ອານາຈັກຣ໌ທົນບຸຣີ ()​ ແມ່ນອານາຈັກຂອງຄົນໄທສະຫຍາມຣະຍະສັ້ນ ໆ ຣະຫວ່າງ ພ.ສ. 2310 - 2325 ຣະຍະເວລາ 15 ປີ ມີພຣະມະຫາກະສັດປົກຄອງພຽງພຣະອົງດຽວ ຄື ສົມເດັດພຣະເຈົ້າກຸງທົນບຸຣີ ພາຍຫຼັງອານາຈັກອະຍຸດທະຍາລົ່ມສະຫຼາຍໄປພ້ອມກັບການເສຍກຸງສີອະຍຸດທະຍາຄັ້ງທີ່ສອງ ແຕ່ໃນເວລາຕໍ່ມາສົມເດັດເຈົ້າພຣະຍາມະຫາກະສັດເສິກໄດ້ປາບດາພິເສກຂຶ້ນເປັນພຣະມະຫາກະສັດແລະຊົງຍ້າຍນະຄອນຫຼວງໄປຍັງຝັ່ງຕາເວັນອອກຂອງແມ່ນ້ຳເຈົ້າພຣະຍາ ຄື ບາງກອກ ຫຼື ກຸງເທບມະຫານະຄອນໃນປັດຈຸບັນ</p>
ເຂດການປົກຄອງຂອງປະເທດລາວ	<p>ມົນທົນ () ຫຼື ແຂວງ ແມ່ນຊື່ເອີ້ນໜ່ວນການປົກຄອງລະດັບໜຶ່ງ ໂດຍປົກກະຕິຈະເປັນລະດັບໃຫຍ່ທີ່ສຸດໃນປະເທດ ຫຼືລັດ. ໃນປະເທດລາວເຮົາແມ່ນປະກອບມີ 17 ແຂວງ ແລະ 1 ນະຄອນຫຼວງ.</p>
ໝາກກ້ຽງໃຫຍ່	<p>ໝາກກ້ຽງໃຫຍ່ (; ; ຊື່ວິທະຍາສາດ: "Citrus maxima") ແມ່ນໄມ້ຢືນຕົ້ນຂະໜາດກາງໃນຕະກູນດຽວນຳໝາກກ້ຽງ ບ່ອນກຳເໜີດແມ່ນຢູ່ໃນເຂດອາຊີຕາເວັນອອກສຽງໃຕ້.</p>
ມີດຕັດ	<p>ມີດຕັດ (;) ຫຼື ຕະໄກ ແມ່ນເຄື່ອງມືທີ່ໃຊ້ສຳລັບຕັດວັດສະດຸບາງ ໆ ໂດຍໃຊ້ແຮງກົດເລັກນ້ອຍ ໂດຍໃຊ້ຕັດວັດສະດຸເຊັ່ນ ເຈ້ຍ ເຈ້ຍແຂງ ແຜ່ນເຫຼັກບາງ ພະລາສະຕິກບາງ ອາຫານບາງຢ່າງ ຜ້າ ເຊືອກ ແລະສາຍໄຟ ເປັນຕົ້ນ. ນອກຈາກນີ້ຍັງໃຊ້ເພື່ອຕັດຜົມກໍໄດ້. ສ່ວນມີດຕັກຂະໜາດໃຫຍ່ອາດໃຊ້ຕັດໃບໄມ້ແລະກິ່ງໄມ້ ເຊິ່ງມີຄວາມແຂງແຮງເປັນພິເສດ. ມີດຕັດຕ່າງຈາກມີດ ຍ້ອນມີໃບມີດ ໒ ດວງ ປະກົບກັນໂດຍມີຈຸດໝູນຮ່ວມກັນ. ສ່ວນໃຫຍ່ບໍ່ມີຄວາມຄົມຫຼາຍ ແຕ່ອາໄສແຮງຈີກລະຫວ່າງໃບມີດສອງດວງ. ມີດຕັດຂອງເດັກມີຄວາມຄົມໜ້ອຍຫຼາຍ ແລະມັກມີປະລາສະຕິກຫຸ້ມ.</p>
ປະລາສະຕິກ	<p>ປະລາສະຕິກ ຫຼື ພະລາສະຕິກ ຫຼື ປຼາສຕິກ (;) ແມ່ນສານປະກອບອິນຊີທີ່ສັງເຄາະຂຶ້ນໃຊ້ແທນວັດສະດຸທຳຊາດ ບາງຊະນິດເມື່ອເຢັນກໍແຂງໂຕ ເມື່ອຖືກຄວາມຮ້ອນກໍອ່ອນໂຕ ບາງຊະນິດແຂງໂຕຖາວອນ ມີຫຼາຍຊະນິດ ແມ່ນ ນີລອນ ຢາງທຽມ. ໃຊ້ເຮັດສິ່ງຕ່າງ ໆ ເຊັ່ນ ເຄື່ອງນຸ່ງ ຟິມ ພາຊະນະ ສ່ວນປະກອບເຮືອຫຼືລົດ</p>
ອາຊີໃຕ້	<p>ອາຊີໃຕ້ (;) ແມ່ນພາກພື້ນຂອງທະວີບອັງຕາກຕິກ ແມ່ນບ່ອນຕັ້ງຂອງປະເທດອິນເດຍ ປາກີສະຖານ ບັງກະລາເທດ ສີລັງກາ ເນປານ ພູຖານ ແລະມັນດີບ. ມີພື້ນທີ່ກວ້າງ 4,480,000 ຕາລາງມິລະແມັດ ຫຼື 0.001% ຂອງທະວີບອາຊີ. ພາກພື້ນນີ້ຍັງແມ່ນທີ່ຮູ້ຈັກກັນໃນອີກຊື່ນຶ່ງວ່າ ອະນຸທະວີບອິນເດຍ. ປະເທດທີ່ຕັ້ງຢູ່ໃນພາກພື້ນນີ້ທັງໝົດຕ່າງກໍແມ່ນສະມາຊິກຂອງອົງກອນຄວາມຮ່ວມມືໃນພາກພື້ນອາຊີໃຕ້ (The South Asian Association for Regional Cooperation ຫຼື SAARC). ໃນລາງຄັ້ງພື້ນທີ່ລາງສ່ວນຫຼືທັງໝົດຂອງປະເທດອັບການິສະຖານ ກໍຈຳແໜກໃຫ້ເປັນສ່ວນນຶ່ງຂອງພາກພື້ນອາຊີໃຕ້ນຳ.</p>
