Twelve tribes of Israel	<h2 id="section">@ສິບສອງຕະກຸນຂອງຊົນຊາດອິດສະຣາເອນ</h2><h3 id="section-1">ນິຍາມ</h3><p>ຄຳວ່າ “ສິບສອງຕະກຸນຂອງຊົນຊາດອິດສະຣາເອນ” ໝາຍເຖິງລູກຊາຍທັງສິບສອງຄົນຂອງຢາໂຄບ ແລະຜູ້ສືບເຊື້ອສາຍຂອງພວກເຂົາ.</p><ul><li>ຢາໂຄບມີປູ່ຊື່ອັບຣາຮາມວ່າ. ຫລັງຈາກນັ້ນພຣະເຈົ້າກໍໄດ້ປ່ຽນຊື່ຢາໂຄບໃຫ້ເປັນອິດສະຣາເອນ.</li><li>ນີ້ຄືລາຍຊື່ຂອງທັງສິບສອງຕະກຸນ: ຣູເບັນ, ຊີເມໂອນ, ເລວີ, ດານ, ເນັບທາລີ, ກາດ, ອາເຊ, ອິດຊະຄາ, ເຊບູໂລນ, ໂຢເຊັບ, ແລະ ເບັນຢາມິນ.</li><li>ຜູ້ສືບເຊື້ອສາຍຂອງເລວີ ບໍ່ໄດ້ຄອບຄອງມໍລະດົກທີ່ດິນຢູ່ໃນດິນແດນການາອານ ເພາະວ່າພວກເຂົາເປັນຕະກູນຂອງປະໂລຫິດ ເຊິ່ງເປັນຜູ້ທີ່ຖືກແຕ່ງຕັ້ງໃຫ້ເປັນຜູ້ຮັບໃຊ້ພຣະເຈົ້າ ແລະປະຊາຊົນຂອງພຣະອົງ.</li><li>ໂຢເຊັບໄດ້ຮັບມໍລະດົກທີ່ດິນເປັນສອງເທົ່າ ເຊິ່ງໂຢເຊັບໄດ້ມອບໃຫ້ລູກຊາຍທັງສອງຂອງຕົນທີ່ມີຊື່ວ່າ: ເອຟຣາອິມ ແລະມານາເຊ.</li><li>ພຣະຄຳພີໄດ້ກ່າວເຖິງທັງສິບສອງຕະກຸນນີ້ຢູ່ຫລາຍຄັ້ງ ແລະບາງຄັ້ງກໍໄດ້ມີຂໍ້ມູນທີ່ແຕກຕ່າງ ເຊັ່ນວ່າ ບາງຄັ້ງຕະກູນເລວີ, ຕະກູນໂຢເຊັບ, ແລະ ຕະກູນດານ ບໍ່ໄດ້ຖືກກ່າວເຖິງ ແຕ່ວ່າບາງຄັ້ງກໍມີການເພີ່ມຊື່ຂອງລູກຊາຍທັງສອງຄົນຂອງໂຢເຊັບກໍຄື ເອຟຣາອິມ ແລະມານາເຊ ເຂົ້າມາໃນລາຍຊື່ແທນ.</li></ul>  
aaron	<h2 id="section">@ອາໂຣນ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>ອາໂຣນເປັນອ້າຍກົກຂອງໂມເຊ ເຊິ່ງພຣະເຈົ້າໄດ້ເລືອກອາໂຣນໃຫ້ເປັນມະຫາປະໂລຫິດຄົນທຳອິດຂອງຊົນຊາດອິສະຣາເອນ.</p><ul><li>ອາໂຣນໄດ້ຊ່ອຍໂມເຊເວົ້າກັບກະສັດຟາໂຣ ເພື່ອໃຫ້ປົດປ່ອຍຊົນຊາດອິສະຣາເອນໃຫ້ໄປເປັນອິດສະຫຼະ.</li><li>ໃນຂະນະທີ່ຊົນຊາດອິສະຣາເອນກຳລັງເດີນທາງໃນເຂດທຸລະກັນດານນັ້ນ ອາໂຣນໄດ້ເຮັດຜິດບາບໂດຍການສ້າງຮູບເຄົາລົບໃຫ້ປະຊາຊົນກາບໄຫວ້ບູຊາ.</li><li>ພຣະເຈົ້າໄດ້ແຕ່ງຕັ້ງໃຫ້ອາໂຣນ ແລະລູກຫລານຂອງເພິ່ນໃຫ້ເປັນມະຫາປະໂລຫິດສຳລັບຊົນຊາດອິສະຣາເອນ.</li></ul>  
abel	<h2 id="section">@ອາເບັນ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>ອາເບັນເປັນລູກຊາຍຜູ້ທີສອງຂອງອາດາມ ແລະເອວາ. ອາເບັນເປັນນ້ອງຊາຍຂອງກາອິນ.</p><ul><li>ອາເບັນເປັນຄົນລ້ຽງສັດ.</li><li>ອາເບັນນຳເອົາສັດຂອງຕົນບາງສ່ວນໄປເປັນເຄື່ອງເຜົາບູຊາແກ່ພຣະເຈົ້າ.</li><li>ພຣະເຈົ້າຊົງພໍພຣະທັຍໃນຕົວຂອງອາເບັນ ແລະເຄື່ອງເຜົາຖວາຍບູຊາຂອງເພິ່ນ.</li><li>ກາອິນຜູ້ທີ່ເປັນລູກຊາຍກົກຂອງອາດາມ ແລະເອວາ ເປັນຄົນຂ້າອາເບັນ.</li></ul>  
abiathar	<h2 id="section">@ອາ​ບີ​ອາ​ທາ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>​ໃນ​ສ​ະໄຫມ​ຂອງ​ກະ​ສັດ​ດາ​ວິດ ອາ​ບີອາ​ທາ​ໄດ້​ເປັນ​ມະ​ຫາ​ປະ​ໂລ​ຫິດຂອງ​ຊົນ​ຊາດ ອິ​ສະ​ຣາ​ເອນ.</p><ul><li>ເມື່ອ​ກະ​ສັດ​ໂຊນ​ຂ້າ​ພວກ​ປະ​ໂລ​ຫິດ,​ ອາ​ບີ​ອາທາໄດ້​ຫລົບ​ໜີ​ໄປ​ຫາ​ດາ​ວິດ​ໃນ​ຖິ່ນ​ທຸ​ລະ​ກັນ​ດານ.</li><li>ອາ​ບີ​ອາ​ທາ​ແລະ​ມະ​ຫາ​ປະ​ໂລ​ຫິດ​ອີກ​ຜູ້​ນຶ່ງ​ຊື່​ຊາ​​​ດົກໄດ້​ຮັບ​ໃຊ້​ດາ​ວິດ​ຢ່າງ​ສັດ​ຊື່​ຕະຫ​ລອດ​ຣາ​ຊການ​ຂອງ​ດາ​ວິດ.</li><li>ຫລັງ​ຈາກ​ດາ​ວິດ​ສິ້ນ​ພຣະ​ຊົນ ອາ​ບີ​ອາ​ທາ​ໄດ້​ພະ​ຍາ​ຍາມ​ສ​ນັບ​ສ​ນູນ​ອາ​ໂດ​ນີ​ຢາ​ຂື້​ນ​ເປັນ​ກະ​ສັດ​ແທນ​ທີ່​ຈະ​ແມ່ນໂ​ຊໂລ​ໂມນ.</li><li>ດ້ວຍ​ເຫດນີ້ ກະ​ສັດ​ໂຊ​ໂລ​ໂມນ​ຈຶ່ງ​ໄດ້​ປົດ​ອາ​ບີ​ອາ​ທາ​ອອກ​ຈາກກ​ານ​ເປັນ​ປະ​ໂລ​ຫິດ.</li></ul><p>(ເບິ່ງເພີ້ມເຕີມ: <a href="https://bibleineverylanguage.org/resources/languages/lo?resource-type=tw#zadok" data-section="names" data-hash="zadok" data-crossref="true">Zadok</a> · <a href="https://bibleineverylanguage.org/resources/languages/lo?resource-type=tw#saul" data-section="names" data-hash="saul" data-crossref="true">Saul (OT)</a> · <a href="https://bibleineverylanguage.org/resources/languages/lo?resource-type=tw#david" data-section="names" data-hash="david" data-crossref="true">David</a> · <a href="https://bibleineverylanguage.org/resources/languages/lo?resource-type=tw#solomon" data-section="names" data-hash="solomon" data-crossref="true">Solomon</a> · <a href="https://bibleineverylanguage.org/resources/languages/lo?resource-type=tw#adonijah" data-section="names" data-hash="adonijah" data-crossref="true">Adonijah</a>)</p>  
abijah	<h2 id="section">@​ອາ​ບີ​ຢາ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>​ອາ​ບີ​ຢາ​ເປັນ​ຊື່​ຂອງ​ກະ​ສ​ັດ​ອົງ​ນຶ່ງ​ຂອງ​ຢູ​ດາ ຊຶ່ງ​ຜູ້​ປົກ​ຄອງ​ຕັ້ງ​ແຕ່​ປີ 915-913 ກ​ຄ​ສ. ພຣະ​ອົງ​ເປັນ​ລູກຊາຍ​ຄົນ​ດຽວ​ຂອງ​ກະ​ສັດ​ເຮ​ໂຫ​ໂບ​ອາມ ໃນ​ພັນ​ທະ​ສ​ັນ​ຍາ​ເດີມ​ມີ​ຜູ້​ຊາຍ​ອີກ​ຫລາຍ​ຄົນ​ທີ່​ມີ​ຊື່​ວ່າ​ ອາ​ບີ​ຢາ.</p><ul><li>ບຸດ​ຊາຍ​ຂອງ​ຊາ​ມູ​ເອນ ຊື່​ອາ​ບີ​ຢາ​ແລະ​ໂຢ​ເອນ ໄດ້​ເປັນ​ຜູ້​ນຳ​ປະ​ຊາ​ຊົນ​ອິ​ສະ​ຣາ​ເອນ​ທີ່​ເບ​ດ​ເຊ​ບາ. ແຕ່​ເພາະ​ອາ​ບີ​ຢາ​ແລະ​ນ້ອງ​ຂອງ​ເຂົາ​ບໍ່​ສັດ​ຊື່​ແລະ​ຮັບ​ສິນ​ບົນ, ປະ​ຊາ​ຊົນ​ຈຶ່ງ​ໄດ້​ຮ້ອງ​ຂໍ​ໃຫ້ ຊາ​ມູ​ເອນ​ແຕ່ງ​ຕັ້ງ​ກະ​ສັດ​ໃຫ້​ເປັນ​ຜູ້​ປົກ​ຄອງ​ພວກເຂົາ.</li><li>ປະ​ໂລ​ຫິດ​ຄົນ​ໜຶ່ງ​ຂອງ​ພຣະ​ວິ​ຫານ​ ໃນສະ​ໄຫມ​ກະ​ສັດດາ​ວິດຊື່​ອາ​ບີ​ຢາ.</li><li>ອາ​ບີ​ຢາ​ເປັນ​ຊື່​ຂອງ​ລູກຊາຍ​ຜູ່້ໜຶ່ງ​ຂອງ​ກະ​ສັດ​ເຢ​ໂຮ​ໂບ​ອາມ.</li><li>ອາ​ບີ​ຢາ​ເປັນ​ຊື່​ຂອງ​ຫົ​ວ​ໜ້າ​ປະ​ໂລ​ຫິດ​ຜູ້​ທີ່​ກັບ​ຈາກ​ການ​ເປັນ​ຊະ​ເລີຍ​ຂອງ​ຊາວ​ບາບີ​ໂລນມາ​ຍັງ​ກຸງ​ເຢ​ຣູ​ຊາ​ເລັມ​ພ້ອມ​ກັບ​ເ​ຊ​ຣູ​​ບາ​ເບນ.</li></ul>  
abimelech	<h2 id="section">@​ອາ​ບີ​ເມ​ເຫລັກ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>ອາ​ບີ​ເມ​ເຫລັກ ​ເປັນ​ກະ​ສັດ​ຂອງ​ຟີ​ລິດ​ສະ​ຕິນ​ທີ່​ປົກ​ຄອງ​ຢູ່​ເມືອງ​ເກ​ຣາ​ໃນ​ຂະ​ນະ​ທີ່​ ອັບ​ຣາ​ຮາມ ​ແລະ​ ອີ​ຊາກ ​ອາ​ໃສ​ຢູ່​ແຜ່ນ​ດິນ​ກາ​ນາ​ອານ.</p><ul><li>ອັບ​ຣາ​ຮາມ ​ໄດ້​ຕົວະ​ກະ​ສັດອາ​ບີ​ເມ​ເຫລັກ​ວ່າ​ນາງ​ຊາ​ຣາ​ເປັນ​ນ້ອງ​ສາວ​ຂອງ​ເພິ່ນ​ແທນ​ທີ່​ຈະ​ບອກວ່າ​ເປັນ​ເມຍ​.</li><li>ອັບ​ຣາ​ຮາມ​ແລະ​ອາ​ບີ​ເມ​ເຫລັກ​ໄດ້​ເຮັດ​ຂໍ້​ຕົກ​ລັງ​ກັນ​ເ​ລື້ອງ​ສິດ​ການ​ເປັນ​ເຈົ້າ​ຂອງ​ນ້ຳ​ສ້າງ​ທີ່​ເບ​ເອນ​ເຊ​ບາ.</li><li>ຫລາຍ​ປີ​ຕໍ່​ມາ, ອີ​ຊາກ​ກໍ​ໄດ້​ຕົວະ​ອາ​ບີ​ເມ​ເຫລັກ​ແລະ​ຜູ້​ຊາຍ​ທັງ​ຫລາຍ​ໃນ​ເມືອງ​ເກ​ຣາ​ວ່າ​ນາງ​ເຣ​ເບ​ກາ​ເປັນ​ນ້ອງ​ສາວ, ​​ບໍ່​ແມ່ນ​ເມຍ.</li><li>ກະ​ສັດ​ອາ​ບີ​ເມ​ເຫລັກ​ໄດ້​ຕຳ​ນິ​ອັບ​ຣາ​ຮາມ ແລະ​ອີ​ຊາກ​ໃນ​ເລື້ອງ​ການ​ຕົວະ​ເພິ່ນ.</li><li>ລູກ​ຊາຍ​ຜູ້​ໜຶ່ງ​ຂອງ​ກິ​ເດ​ໂອນ​ມີ​ຊື່​ວ່າ​ອາ​ບີ​ເມ​ເຫລັກ​ແລະ​ລາວ​ເປັນ​ອ້າຍ​ຂອງ​ໂຢ​ທາມ. ພ​ຣະ​ຄັມ​ພີ​ບາງ​ສະ​ບັບ​ອາດ​ຈະ​ສະ​ກົດ​ຊື່​ຂອງ​ເຂົາ​ແຕກ​ຕ່າງ​ກັນ​ເລັກ​ນ້ອຍ​ເພື່ອ​ເຮັດ​ໃຫ້​ແຕກ​ຕ່າງ​ຈາກ​ຊື່​ກະ​ສັດ​ອາ​ບີ​ເມ​ເຫລັກ.</li></ul>  
abner	<h2 id="section">@ອັບ​ເນ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>​ໃນ​ພຣະ​ສັນ​ຍາ​ເດີມ ອັບ​ເນ ​​ເປັນ​ລູ​ກ​ອ້າຍ​ລູກ​ນ້ອງ​​ຂອງ​ກະ​ສັດ​ໂຊນ.</p><ul><li>ອັບ​ເນ​ເປັນ​ຜູ້​ບັນ​ຊາ​ການກອງ​ທະ​ຫານ​ຂອງ​ໂຊນ​, ແລະ​ໄດ້ພາ​ເດ​ັກ​ໜຸ່ມດາ​ວິດ​ໄປ​ເຂົ້າ​ເຝົ້າໂຊນຫລັງ​ຈາກ​ທີ່​ດາ​ວິດ​ໄດ້​ຂ້າ​ຍັກ​ໃຫ່​ຍ ໂກ​ລິອ​າດ.</li><li>ຫລັງ​ຈາກ​ທີ່​ກະ​ສັດ​ໂຊນ​ເສຍ​ຊີ​ວິດ, ອັບ​ເນ​ໄດ້​ແຕ່ງ​ຕັ້ງ​ອິ​​ດະ​ໂບ​ເສັດ​ລູກ​ຊາຍ​ຂອງ​ໂຊນ​ຂື້ນເປັນ​​ກະ​ສັດ​ຂອງ​ອິ​ສ​ະ​ຣາເອນ​ໃນ​ຂະ​ນະ​ທີ່​ດາ​ວິດ​ໄດ້​ຮັບ​ການ​ແຕ່ງ​ໃຫ້​ເປັນ​ກະ​ສັດ​ຂອງ​ຢູ​ດາ.</li><li>ພາຍ​ຫລັງ​ມາ, ໂຢອາບ​ຊຶ່ງ​ເປັນ​ຜູ້​ບັນ​ຊາ​ການ​ທະ​ຫານ​ຂອງ​ດາ​ວິດ​ໄດ້​ວາງ​ແຜນ​ຂ້າ​ອັບ​ເນ.</li></ul>  
abomination	<h2 id="section">@​​ຫນ້າລັງກຽດ, @ຫນ້າກຽດຫນ້າຊັງ</h2><h3 id="section-1">ນິຍາມ</h3><p>​ຄຳ​ວ່າ "​​ຫນ້າລັງກຽດ" ໃຊ້​ກ່າວ​ເຖິງ​ບາງ​ສິ່ງ​ທີ່​ເຮັດ​ໃຫ້​ໜ້າ​ກຽດ ຫລືບໍ່​ເ​ຫັນຊອບ​ທີ່​ສຸດ.</p><ul><li>ຄົນ​ອີຢິບຖື​ວ່າ​ຄົນ​ເຮັບ​ເຣີ "ຫນ້າລັງກຽດ" ນີ້​ຄື​ໝາຍ​ຄວາມ​ວ່າ​ຄົນ​ອີ​ຢິບບໍ່​ມັກ​ຄົນ​ເຮັບ​ເຣີ ແລະ​ບໍ່​ຕ້ອງ​ການ​ຄົບ​ຄ້າ​ສາມ​ະຄົມຫລື​ຢູ່​ໃກ້ໆ​ພວກ​ເຂົາ.</li><li>ບາງ​ສິ່ງ​ທີ່​ພ​ຣະ​ຄັມ​ພີ​ເວົ້າ​ວ່າ "ສິ່ງ​ທີ່ຫນ້າລັງກຽດ​ຕໍ່​ພ​ຣະ​ເຈົ້າ" ລວມ​ເຖິງ ການ​ຕົ​ວະ, ການອວດ​ຕົວ,ການ​ຖວາຍ​ມະ​ນຸດ​ເປັນ​ເຄື່ອງ​ບູ​ຊາ, ການ​ລ່ວງ​ປະ​ເວ​ນີ​ແລະ​ການ​ຮັກຄົນ​ເພດດຽວ​ກັນ.</li><li>ໃ​ນ​ການ​ສອນ​ເລຶ້ອງ​ຍຸກ​ສຸດ​ທ້າຍ, ບັນ​ດາ​ສາ​ວົກ​ຂອງ​ພ​ຣະ​ເຢ​ຊູ​ໄ​ດ້​ອ້າງ​ເຖິງ​ຄຳ​ພະ​ຍາ​ກອນ​ຂອງ​ຜູ້​ປະ​ກາດ​ພ​ຣະຄັມ ດາ​ນິ​ເອນ​ກ່ຽວ​ກັບສິ່ງ "​ຫນ້າລັງກຽດອັນໜ້າ​ຢ້ານ" ທີ່​ຈະ​ຖືກກໍ່​ຕັ້ງ​ຂຶ້ນ ຊຶ່ງ​ເປັນ​​ເໝືອນ​ການ​ກະ​ບົດ​ຕໍ່ ​ພ​ຣະ​ເຈົ້າ, ທັງເຮັດໃຫ້​ບ່ອນ​ນະ​ມັດ​ສະການ​ຂອງ​ພ​ຣະ​ອົງ​ເປັນ​ມົ​ນທິນ.</li></ul><h3 id="section-2">ຄຳ​ແນະ​ນຳ​ໃນ​ການ​ແປ</h3><p>ຄຳ​ວ່າ "ຫນ້າລັງກຽດ" ສາ​ມາດ​ແປ​ໄດ້​ອີກວ່າ "ບາງ​ສິ່ງ​ທີ່​ພ​ຣະ​ເຈົ້າ​ກຽດ​ຊັງ" ຫລື "ບາງ​ສິ່ງ​ທີ່​ໜ້າ​ລັງ​ກຽດ" ຫລື "​ການ​ກະ​ທຳ​ທີ່​ໜ້າ​ລັງ​ກຽດ" ຫລື​"ຊົ່ວຮ້າຍ​ທີ່​ສຸດ."</p><ul><li>ອີງ​ຕາມ​ເນື້ອ​ຫາ​ນີ້​ອາ​ດຈະ​ແປ​ວ່າ "ຫນ້າລັງກຽດ​ຕໍ່" ອາດ​ຈະ​ລວມ​ເຖິງ "ໜ້າ​ກຽດ​ທີ່​ສຸດ" ຫລື "ໜ້າ​ກຽດ​ຕໍ່" ຫລື "ເປັນ​ສິ່ງ​ທີ່​ຮັບ​ບໍ່​ໄດ້​" ຫລື "ເຮັດ​ໃຫ້​ໜ້າ​​ກຽດ​ຊັງ​ທີ່​ສຸດ."</li><li>ຈາກ​ເນື້ອ​ຫານີ້ "ຫນັາລັງກຽດ​ອັນ​ໜ້າ​ຢ້ານ" ອາດ​ຈະ​ແປ​ໄດ້​ອີກວ່າ "ສິ່ງ​ທີ່​ເປັນ​ມົນ​ທິນ​ທີ່​ຈະເຮັດ​ໃຫ້​ປະ​ຊາ​ຊົນ​ໄດ້​ຮັບ​ອັນ​ຕະ​ລາຍ​ຢ່າງ​ຮ້າຍ ແຮງ" ຫລື "ສິ່ງ​ທີ່​ໜ້າ​ກຽດ​ທີ່​ເຮັດ​ໃຫ້​ເກີດ​ຄວາມ​ໂສກ​ເສົ້າ​ຢ່າງ​ຫລວງຫລາຍ."</li></ul>  
abraham	<h2 id="section">@ອັບ​ຣາ​ຮາມ, @ອັບ​ຣາມ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>ອັບຣາມເປັນຄົນເຄລະດຽນມາຈາກເມືອງອຸເຣ ເປັນຜູ້ໄດ້ຮັບການຊົງເລືອກຈາກພຣະເຈົ້າໃຫ້ເປັນບັນພະບຸລຸດຂອງຄົນອິສະຣາເອນ. ພຣະເຈົ້າຊົງໄດ້ປ່ຽນຊື່ຂອງທ່ານເປັນ "ອັບຣາຮາມ."</p><ul><li>ຊື່ "ອັບຣາມ" ໝາຍຄວາມວ່າ "ພໍ່ທີ່ໄດ້ຮັບການຍົກຍ້ອງ"</li><li>"ອັບຣາຮາມ" ໝາຍຄວາມວ່າ "ພໍ່ຂອງຄົນທັງຫຼາຍ."</li><li>ພຣະເຈົ້າຊົງໄດ້ສັນຍາກັບຮັບຣາຮາມວ່າ ທ່ານຈະມີເຊື້ອສາຍຫລວງຫລາຍ, ຊຶ່ງພວກທ່ານທັງຫຼາຍຈະກາຍເປັນຊົນຊາດໃຫຍ່.</li><li>ອັບຣາຮາມເຊື່ອໃນພຣະເຈົ້າແລະເຊື່ອຟັງພຣະອົງ. ພຣະເຈົ້າຊົງໄດ້ນຳອັບຣາຮາມໃຫ້ຍ້າຍອອກຈາກຖິ່ນຂອງຄົນເຊັນເດຍໄປຢັງແຜ່ນດິນການາອານ.</li><li>ໃນຂະນະທີ່ອາໃສຢູ່ໃນແຜ່ນດິນການາອານ, ເມື່ອພວກທ່ານເຖົ້າແກ່ຫລາຍແລ້ວ, ອັບຣາຮາມແລະນາງຊາຣາພັນລະຍາຂອງທ່ານກໍໄດ້ມີບຸດຊາຍຄົນໜຶ່ງຊື່ ອິຊາກ.</li></ul>  
absalom	<h2 id="section">@ອັບ​ຊາ​ໂລມ</h2><h3 id="section-1">ຂໍ້ເທັດຈິງ</h3><p>ອັບຊາໂລມເປັນລູກຊາຍທີ່ສາມຂອງກະສັດດາວິດ. ທ່ານໄດ້ຊື່ວ່າເປັນຄົນຮູບງາມແລະເຈົ້າອາລົມ.</p><ul><li>ເມື່ອ ຕາມາ ນ້ອງສາວຂອງອັບຊາໂລມຖືກຂົ່ມຂືນໂດຍອຳໂນນຊຶ່ງເປັນພີ່ນ້ອງຕ່າງແມ່, ອັບຊາໂລມໄດ້ວາງແຜນຂ້າອຳໂນນ.</li><li>ຫຼັງຈາກທີ່ຂ້າ​ອຳໂນນແລ້ວ ອັບຊາໂລມໄດ້ໜີໄປຢັງແຄວ້ນຂອງຄົນເກຊູ (ຊຶ່ງ ມາອາຄາ ແມ່ຂອງທ່ານມາຈາກນັ້ນ) ແລະຢູ່ບ່ອນນັ້ນສາມປີ. ແລ້ວກະສັດດາວິດຊົງໄດ້ບອກໃຫ້ທ່ານກັບມາຍັງກຸງເຢຣູຊາເລັມ, ແຕ່ຊົງບໍ່ອະນຸຍາດໃຫ້ເຂົ້າເຝົ້າເປັນເວລາສອງປີ.</li><li>ອັບຊາໂລມໄດ້ຊັກຊວນປະຊາຊົນບາງສ່ວນໃຫ້ຕໍ່ຕ້ານກະສັດດາວິດແລະກະບົດຕໍ່ພະອົງ.</li><li>ທະຫານຂອງດາວິດໄດ້ຕໍ່ສູ້ກັບອັບຊາໂລມແລະໄດ້ຂ້າທ່ານເສຍ ດາວິດເສຍໃຈເປັນຢ່າງຫນັກຕໍ່ເຫດການນີ້.</li></ul>  
