abend 	ຫຍໍ້ມາຈາກ abnormal end, ການຢຸດເຮັດວຽກແບບຜິດປົກກະຕິ ຂອງຄອມພິວເຕີໂດຍທີ່ເຄື່ອງບໍ່ໄດ້ຮັບຄຳສັ່ງໃຫ້ຢຸດ.
ability grouping 	ການແບ່ງກຸ່ມຕາມຄວາມສາມາດບາງຢ່າງເພື່ອຈຸດປະສົງໃດຫນຶ່ງ.
ABIOS 	ຫຍໍ້ມາຈາກ Advanced Basic Input/Output System, ເປັນຊຸດຂອງໂປຣແກຣມໃຫ້ບໍລິການຂະໜາດນ້ອຍທີ່ຢູ່ໃນ chip ເຊັ່ນ: ROM, EPROM ຫລື EEPROM, ເຊິ່ງມີມາກັບເຄື່ອງ IBM PS/2.
abort 	ຍົກເລີກ, ສັ່ງຍົກເລີກການເຮັດວຽກ ເນື່ອງຈາກມີຄວາມຜິດພາດເກີດຂຶ້ນ.
About box 	ຂອບສະແດງຂໍ້ມູນກ່ຽວກັບໂປຣແກຣມເຊັ່ນ: ຊື່ໂປຣແກຣມ, ຫມາຍເລກລຸ້ນຂອງໂປຣແກຣມ ແລະ ຂໍ້ມູນອື່ນໆ.
ABR 	ຫຍໍ້ມາຈາກ Available Bit Rate, ອັດຕາການຮັບສົ່ງຂໍ້ມູນ ທີ່ປັບປ່ຽນຄວາມໄວໄດ້.
ABS 	ຄ່າຂາດຕົວ, ຫຍໍ້ມາຈາກ ABSolute value, ຄຳສັ່ງໃນພາສາໂປຣແກຣມ ຫລາຍພາສາ, ລວມທັງໂປຣແກຣມຄຳນວນໃນແບບຕາຕະລາງ ເຊັ່ນ Excel ໃຊ້ຄຳນວນຄ່າຂາດຕົວ ຈາກຕົວເລກ ທີ່ໃຫ້ມາ.
absolute addressing 	ທີ່ຢູ່ ຫຼື ຕຳແໜ່ງແນ່ນອນ, ການບອກຕຳແຫນ່ງໃນຫນ່ວຍຄວາມຈຳໂດຍກົງ.
absolute coding 	ລະຫັດແນ່ນອນ, ລະຫັດທີ່ລະບຸຕຳແຫນ່ງຈິງໂດຍກົງໃນຫນ່ວຍຄວາມຈຳຫລັກ.
absolute reference 	 ການອ້າງອີງແບບແນ່ນອນ, ເຊິ່ງໃຊ້ໃນການກຳນົດ cell ທີ່ໃຊ້ໃນສູດ ໃນ spreadsheet, ເມື່ອຍ້າຍສູດຈາກ cell ຫນື່ງໄປຫາອີກ cell ຫນຶ່ງ, cell ທີ່ຖືກອ້າງອີງແບບແນ່ນອນຈະບໍ່ປ່ຽນແປງ.
abstract 	ບົດຄັດຫຍໍ້, ສ່ວນສຳຄັນຂອງບົດຄວາມ ຫລື ສິ່ງພິມ.
abstract data type 	ຊະນິດຂໍ້ມູນແບບນາມມະທຳ.
AC 	ໄຟຟ້າກະແສສະຫລັບ, ຫຍໍ້ມາຈາກ Alternating Current.
Acceptable Use Policy 	ໃຊ້ຄຳຫຍໍ້ວ່າ AUP, ນະໂຍບາຍການໃຊ້ເຄືອຂ່າຍໃນບ່ອນໃດບ່ອນຫນຶ່ງ ເຊິ່ງກຳນົດວ່າຂໍ້ມູນ ຫລື ຂ່າວສານປະເພດໃດສາມາດສົ່ງຜ່ານໃນເຄືອຂ່າຍໄດ້.
acceptance test 	ການກວດກາການເຮັດວຽກຂອງຄອມພີວເຕີ ແລະ ໂປຣແກຣມເພຶ່ອໃຫ້ໄດ້ ຄຸນນະພາບຕາມທີ່ກຳນົດໄວ້.
ACCESS 	ຫຍໍ້ມາຈາກ Asynchronous Communication Course to Enable Student Success, ເປັນໂປຣແກຣມການຮຽນການສອນໂດຍໃຊ້ເຕັກໂນໂລຊີຂອງມະຫາວິທະຍາໄລ Virginia Tech.
access 	ການເຂົ້າເຖິງຂໍ້ມູນທີ່ບັນທຶກໄວ້.
access arm 	ແຂນ/ກ້ານ ທີ່ມີຫົວອ່ານ ແລະ ຂຽນຂໍ້ມູນໃນແຜ່ນດິດ.
access code 	ລະຫັດການເຂົ້າເຖິງ.
access denied 	 ການປະຕິເສດໃຫ້ເຂົ້າເຖິງ, ເປັນຄວາມຜິດທີ່ເກີດຈາກຄຳສັ່ງພະຍາຍາມໄປອ່ານຟາຍຂໍ້ມູນ ຫລື ໄດ້ເຣັກທໍຣີທີ່ລະບົບບໍ່ອະນຸຍາດໃຫ້ໃຊ້.
access key 	ລະຫັດການເຂົ້າເຖິງຟາຍ ຫລື ຊຸດຂໍ້ມູນ.
access method 	ວິທີການເຂົ້າເຖິງຟາຍ ຫລື ຊຸດຂໍ້ມູນ.
access number 	ເລກໝາຍໂທລະສັບທີ່ຜູ້ໃຊ້, ໃຊ້ເຊື່ອມຕໍ່ເຂົ້າສູ່ບໍລິການສາຍກົງ.
access point 	ຕໍາແຫນ່ງ ຫລື ຈຸດທີ່ຢູ່ໃນເຄືອຂ່າຍເພື່ອເຂົ້າເຖິງ ແລະ ນໍາຂໍ້ມູນອອກມາໃຊ້.
access provider 	ບໍລິສັດແມ່ຂ່າຍທີ່ໃຫ້ບໍລິການລູກຄ້າເຊື່ອມຕໍ່ເຂົ້າອິນເຕີເນັດ.
access time 	ເວລາທີ່ຄອມພິວເຕີໃຊ້ສໍາລັບເຂົ້າເຖິງຂໍ້ມູນ.
