(Mekong) giant catfish 	 ປາບຶກ
Accelerated Rural Development	(ARD) 	 ສໍານັກງານເລັງ່ ລັດພັດທະນາຊົນນະບົດ (ສ.ພ.ຊ)
Adjective 	 ຄໍາຄຸນນາມ
Adverb 	 ກິລິຍາວິເສດ
April	(n) 	 ເດືອນເມສາ
August	(n) 	 ເດືອນສິງຫາ
Bank of Agriculture and Co- 	 ທະນາຄານເພື່ອການກະສິກອນ, ທ.ກ.ສ.
Barren land and rocks 	 ເນື້ອທີ່ເປົ່າວ່າງ
Bees	 ເຜີ້ງ
Bench terrace 	 ໄຮ່ພັກຂັ້ນໄດ
Brussels spouts	(spout) 	 ກະລໍ່າດອກ
Cantaloupe 	 ໝາກແຕງລາຍ, ໝາກແຕງໃຫຍ່
Centre	(Community Development) 	 ສູນຊ່ວຍເຫຼອ
Chicken	 ໄກ່
Chief of Cabinet 	 ຫົວໜ້າຫ້ອງການ
Chinese celery 	 ຜັກຕ່າງສ້າຍ	(ແຊລເລີຣີ)
City Hall	(n) 	 ສໍານັກ
Community Development Centre 	 ສູນພັດທະນາຊຸມຊົນ
Cooperation	(CIC) 	 ຄະນະກໍາມະການ ການຮ່ວມມືເສດຖະກິດ
Cow	 ງົວ
Cucumber 	 ໝາກແຕງກົວ
Culvert pipe	(n) 	 ທໍ່ລະບາຍນໍ້າ
Cyperus difformis 	 ຫຍ້າຕູ້ມຫູ
Cyperus iria 	 ຫຍ້າຄົມປາວ ຫຼື ຫຍ້າຮັງກາ
Cyperus rotundus 	 ຫຍ້າແຫ້ວໝູ
December	(n) 	 ເດືອນທັນວາ
Departmant of Agricultural Extension 	 ກົມສົ່ງເສີມກະສິກໍາ
Department	(CD) 	 ກົມພັດທະນາຊຸມຊົນ
Department of Agricultural Extension 	 ກົມສົ່ງເສີມກະສິກໍາ
Department of Forestry 	 ກົມປ່າໄມ້
Department of Health 	 ກົມອະນາໄມ
Department of Higher and 	 ກົມອາຊີວະສຶກ
Department of Highways 	 ກົມທາງຫຼວງ
Department of Livestock 	 ກົມລ້ຽງສັດ
Department of Livestock 	 ກົມລ້ຽງສັດ ແລະ ສັດຕະວະແພດ
Department of Public Welfare 	 ກົມປະຊາສົງເຄາະ
Deputy Director General 	 ຮອງອະທິການບໍດີ, ຮອງອໍານວຍການ
Deputy Director Officer 	 ຜູ້ຮອງເຈົ້າເມືອງ
Deputy Governor 	 ຜູ້ຮອງເຈົ້າແຂວງ
Development 	 ກົມພັດທະນາຊຸມຊົນ
Digitaria ciliaris 	 ຫຍ້າຕີນນົກ
Director	(of Division) 	 ຜູ້ອໍານວຍການ (ຂອງພະແນກ)
Director General 	 ອະທິການບໍດີ 
Director General	(of Departmen) 	 ຫົວໜ້າກົມ, ອະທິບໍດີ
District Agriculture and Forestry Office 	 ຫົວໜ້າຫ້ອງການກະສິກໍາ ແລະ ປ່າໄມ້ ເມືອງ
District C.D. Officer 	 ພັດທະນາກອນຂອງເມືອງ
Echinochloa colona 	 ຫຍ້າເຂົ້ານົກສີຊົມພູ ຫຼື ເອິກເຕົ່າ
Echinochloa crus-galli 	 ຫຍ້າເຂົ້ານົກ
Extension Division 	 ກອງສົ່ງເສີມ ແລະ ເຜີຍແຜ່ການສຶກສາຊຸມຊົນ
Fahrenheit	(n) 	 ອົງສາຟາເຣັນຮາຍ
February	(n) 	 ເດືອນກຸມພາ
Field Crop Experimental Station 	 ສະຖານີທົດລອງພືດໄຮ່ 
Fimbristylis miliacea 	 ຫຍ້າໄຂ່ຂຽດໜວດປາດຸກ
Fish & Small animal Breeding 	 ການສົ່ງເສີມການລ້ຽງປາ ແລະ ສັດນ້ອຍ
Fisheries Station 	 ສະຖານີປະມົງ
Forage Crop Station 	 ສະຖານີພືດອາຫານສັດ
Forest Tree Nursery Center 	 ສູນກ້າເບ້ຍໄມ້
Forestry Office 	 ຫ້ອງການປ່າໄມ້
Friday	(n) 	 ວັນສຸກ
Goat	 ແບ້
Governor	(n) 	 ເຈົ້າແຂວງ
Grass Experiment Station 	 ສະຖານີພືດອາຫານສັດ
Green Revolution 	 ການປະຕິວັດຂຽວ
Guinea grass 	 ຫຍ້າ ກູນີ
Hamil Guinea grass 	 ຫຍ້າ ແຮມີດ
Head	(of Ceneter) 	 ຫົວໜ້າສູນ
Head	(of Station) 	 ຫົວໜ້າສະຖານີ
Head of District Forest Office 	 ຫົວໜ້າຫ້ອງການກະສິກໍາເມືອງ
Head of District Livestock Office 	 ຫົວໜ້າຫ້ອງການລ້ຽງສັດເມືອງ
Head of Provincial Forestry Office 	 ຫົວໜ້າຫ້ອງການປ່ໄມ້ແຂວງ
Head of Provincial Livestock Office 	 ຫົວໜ້າຫ້ອງການລ້ຽງສັດແຂວງ
Health Department Office 	 ຫ້ອງການສາທາລະນະສຸກ
Herd lmprovement Registry	(H.I.R) 	 ທະບຽນປະຫວັດພັນ (ງົວ)
Horse	 ມ້າ
Imperata grass 	 ຫຍ້າຄາ
Integrated Pest Management	(IPM) 	 ການປາບສັດຕູພືດ
Irrigation Research and 	 ສູນຄົ້ນຄວ້າ ແລະ ອອກແບບຊົນລະປະທານ
Java plum 	 ໝາກຫ້າວ
July	(n) 	 ເດືອນກໍລະກົດ
June	(n) 	 ເດືອນມິຖຸນາ
