មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
ញ៉ុក,"[ɲok] <br>1a). adj to be crammed full
អែបឡប,"[ʔaep laa bɑɑ] [[អែប]] [[ឡ]] [[ប]] <br>1). to be a yes-man;<br> a toady "
ដោយអវិចារ,"[daoy ʔɑɑ viʔcaaraʔ~viʔcaa] [[ដោយ]] [[អ]] [[វិចារ]] <br>1). beyond argument
ដាច់ខ្យល់ស្លាប់,"[dac kyɑl~kcɑl slap] [[ដាច់ខ្យល់]] [[ស្លាប់]] <br>1). to breathe one's last
មាសិកជន,"[mieseʔkaʔcʊən] <br>1). n worker paid by the month "
ទាយពន្ធ,"[tiey pʊən] [[ទាយ]] [[ពន្ធ]] <br>1). legal heir "
វារិយាន,"[vieriʔ yien] [[វារិ]] [[យាន]] <br>1). ship
រាជតំរិះ,"[riec ------] [[រាជ]] [[តំរិះ]] <br>1). royal decision "
ប៉ាកកា,"[paak kaa] <br>1). n pen (for writing) See: ប្រកា "
ម្រេញភ្លើង,"[mrɨɲ pləəŋ] [[ម្រេញ]] [[ភ្លើង]] <br>1). kind of cancer "
ញ៉ុញ,"[ɲoɲ] <br>1). v to run out (of reasons or arguments)
ខ្ចប់,"[kcɑp] <br>1). v to pack
ឥន្ទ្រាយុធ,"<br>1). See: ឥន្ទធនូ "
មាសស្នេហ៍,"[mieh snae] [[មាស]] [[ស្នេហ៍]] <br>1). my beloved one
សោះខ្យល់,"[sɑh kyɑl~kcɑl] [[សោះ]] [[ខ្យល់]] <br>1). to be exhausted "
ឧបដ្ឋាក,"[ʔuʔpattʰaak] <br>1). n servant
គគ្រិះ,"[kɔkrih] <br>1). adj to be covered with dirt and sweat
កំសួលសន្ទូច,"[kɑmsuəl sɑntuuc] [[កំសួល]] [[សន្ទូច]] <br>1). (fishing) float "
គជករ,"[keaʔceaʔ~kʊəc kɑɑ] [[គជ]] [[ករ]] <br>1). herd of elephants "
កំរងផ្កា,"[kɑmrɑɑŋ pkaa] [[កំរង]] [[ផ្កា]] <br>1). garland / wreath of flowers
រណ្ឌកព្រឹក្ស,"[rʊəndeaʔkaʔprɨk] <br>1). n barren fruit tree "
យឹតឲ្យពេញបន្ទុក,"[yɨt ------ ] [[យឹត]] [[ឲ្យពេញបន្ទុក]] <br>1). to do whatever one wishes without fear of reprisal "
ប្រែប្រាជ្ញា,"[prae praacɲaa] [[ប្រែ]] [[ប្រាជ្ញា]] <br>1). to do something different from what one said "
ផ្ដាំចាស់,"[pdam cah] [[ផ្តាំ]] [[ចាស់]] <br>1). to have a last fling before one is too old "
ភូតគ្រាម,"[pʰuut kriem] [[ភូត]] [[គ្រាម]] <br>1). See: ភូតគាម "
ជីរអង្កាម,"[cii ʔɑŋkaam] [[ជីរ]] [[អង្កាម]] <br>1). kind of mint with small round leaves (Mentha crispa) "
សន្និបាតរោគ,"[sɑnniʔbaat rook] [[សន្និបាត]] [[រោគ]] <br>1). several illnesses which affect a person at the same time "
ឧតុនិយមវិទ្យា,"[ʔuʔtoʔ niʔyum ------] [[ឧតុនិយម]] [[វិទ្យា]] <br>1). meteorology "
រតេតរតូត,"[rɔteɛt rɔtoot] [[រតេត]] [[រតូត]] <br>1). to be scattered about (as islands or hills) some low and others high "
តឹងព្អឹះ,"[təŋ pʔɨh] [[តឹង]] [[ព្អឹះ]] <br>1a). to be stuck tightly (e.g. as a cork in a bottle). <br>1b). to be difficult to solve / resolve "
