title	text
ប្រវត្តិសាស្ត្រនៃអាស៊ី	<p>ប្រវត្តិសាស្រ្តនៃអាស៊ី អាចត្រូវបានគេមើលឃើញថាជាប្រវត្តិសាស្ត្ររួមនៃតំបន់ឆ្នេរតាមតំបន់ផ្សេងៗគ្នាដូចជា អាស៊ីបូព៌ា អាស៊ីខាងត្បូង អាស៊ីអាគ្នេយ៍ និង មជ្ឈិមបូព៌ា ដែលតភ្ជាប់ដោយមហាផ្ទៃទ្វីបនៃ វាលស្មៅ អឺរ៉ាស៊ី។ សូមមើល ប្រវត្តិសាស្រ្តនៃមជ្ឈិមបូព៌ា និង ប្រវត្តិនៃឧបទ្វីបឥណ្ឌា សម្រាប់ព័ត៌មានលម្អិតបន្ថែមអំពីតំបន់ទាំងនោះ។ តំបន់តាមមាត់សមុទ្រគឺជាជម្រកនៃអរិយធម៌ និងសាសនាដែលគេស្គាល់ដំបូងបំផុតរបស់ពិភពលោក ដោយតំបន់នីមួយៗនៃតំបន់ទាំងបីបានអភិវឌ្ឍអរិយធម៌ដំបូងនៅជុំវិញជ្រលងទន្លេដែលមានជីជាតិ។ ជ្រលងភ្នំទាំងនេះមានជីជាតិ ដោយស
ចូឡសុញ្ញតសូត្រ	<p>អត្ថបទសង្ខេប. ១. មូលបទ និងគោលបំណង (Core Theme). ព្រះសូត្រនេះបង្ហាញអំពី «ការចូលកាន់សុញ្ញតៈ (សេចក្តីសូន្យ) តាមលំដាប់លំដោយ» ដែលជាវិធីសមាធិ និងវិបស្សនាដ៏ខ្ពង់ខ្ពស់របស់ព្រះពុទ្ធ។ ព្រះអង្គទ្រង់ពន្យល់ថា សេចក្តីសូន្យនៅក្នុងទីនេះ មិនមែនជាភាពទទេស្អាតគ្មានសល់អ្វីសោះ ឬជាភាពវង្វេងបាត់ស្មារតីនោះទេ ប៉ុន្តែជា ការដឹងច្បាស់នូវអ្វីដែល «សូន្យចាក» (មិនមានវត្តមាន) និងការដឹងច្បាស់នូវអ្វីដែល «នៅសេសសល់» (មានវត្តមាន) នៅក្នុងចិត្ត។ ២. ជំហាននៃការលះបង់សញ្ញា (The Progressive Steps). ព្រះពុទ្ធទ្រង់បានដឹកនាំព្រះអានន្ទ ឲ្យពិ
មហាសុញ្ញតសូត្រ	<p>= អត្ថបទ​សង្ខេប = ១. មូលហេតុ និងការត្រេកអរនឹងពួកគណៈ (The Context &amp; Danger of Groups). ព្រះមានព្រះភាគទ្រង់ទតឃើញសេនាសនៈ (កន្លែងស្នាក់នៅ) ជាច្រើនដែលគេរៀបចំទុកនៅក្នុងវិហាររបស់កាឡខេមកសក្កៈ នាទីក្រុងកបិលព័ស្តុ។ ព្រះអានន្ទបានក្រាបទូលថា នោះជាពេលដែលពួកភិក្ខុកំពុងដេរចីវរ។ ព្រះអង្គក៏បានត្រាស់ដាស់តឿនថា៖ ២. ការចម្រើនសុញ្ញតផលសមាបត្តិ (Abiding in Emptiness). ព្រះមានព្រះភាគទ្រង់ត្រាស់ថា ព្រះអង្គតែងសម្រេចនូវ សុញ្ញតផលសមាបត្តិ (ការចូលកាន់ផលនៃសេចក្តីសូន្យ/ទទេ) ដោយការមិនធ្វើទុកក្នុងចិត្តនូវសង្ខតនិមិត្តទាំងអស់
រៀល បេទីស	<p>Real Betis Balompié, SAD ត្រូវបានគេស្គាល់ថា Real Betis (វាលេងនៅ La Liga ដែលជា លីគកំពូលនៃបាល់ទាត់អេស្ប៉ាញ ។ បច្ចុប្បន្ន​វា​លេង​ការ​ប្រកួត​ក្នុង​ផ្ទះ​នៅ ​កីឡដ្ឋាន Estadio de La Cartuja ដែល​មាន​អ្នក​ទស្សនា 70,000 នាក់។ Real Betis បានឈ្នះពានរង្វាន់លីគក្នុង ឆ្នាំ 1935 និងពានរង្វាន់ Copa del Rey ក្នុង ឆ្នាំ 1977, 2005 និង 2022 ។ ដោយសារប្រវត្តិដ៏ច្របូកច្របល់របស់ក្លឹប និងការធ្លាក់ចេញពីលីគជាច្រើន បាវចនារបស់វាគឺ "¡Viva el Betis manque pierda!" ()</p>
ជូដ ប៊ែលលីងហាំ	<p>Jude Victor William Bellingham (កើតថ្ងៃទី 29 ខែមិថុនា ឆ្នាំ 2003) គឺជា កីឡាករបាល់ទាត់ អាជីពអង់គ្លេស ដែលលេងជា ខ្សែបម្រើ សម្រាប់ក្លឹប Real Madrid ក្នុងលី គ La Liga និង ក្រុមជម្រើសជាតិអង់គ្លេស ។ ត្រូវបានគេចាត់ទុកថាជាកីឡាករល្អបំផុតម្នាក់នៅលើពិភពលោក គាត់ត្រូវបានគេស្គាល់ដោយសារសមត្ថភាពកីឡា និងសមត្ថភាពឈ្នះបាល់របស់គាត់។ Bellingham បានចូលរួមជាមួយ Birmingham City តាំងពីគាត់មានអាយុក្រោម 8 ឆ្នាំ ហើយបានក្លាយជាកីឡាករវ័យក្មេងបំផុតរបស់ក្លឹប នៅពេលដែលគាត់បានបង្ហាញខ្លួនជាលើកដំបូងនៅក្នុង ក្រុម ធំនៅខែសីហា ឆ្នាំ 20
សុញ្ញតផលសមាបត្តិ	<p>សុញ្ញតផលសមាបត្តិ. សុញ្ញតផលសមាបត្តិ "គឺជាសេចក្តីស្ងប់រម្ងាប់ខាងក្នុងចិត្ត តាមរយៈការពិចារណានូវភាពទទេស្អាត គ្មានតួខ្លួន គ្មានសត្វ គ្មានបុគ្គល" (សូន្យពីការប្រកាន់មាំ ឬសូន្យពីកិលេស)។ ពាក្យនេះផ្សំឡើងពី៖ នៅក្នុងព្រះពុទ្ធសាសនា ព្រះសម្មាសម្ពុទ្ធ និងព្រះអរិយបុគ្គលទាំងឡាយ តែងចូលកាន់ សុញ្ញតផលសមាបត្តិ ដែលជាវិហារធម៌ (ទីនៅនៃចិត្ត) ដ៏ឧត្តមរបស់មហាបុរស។ វាជាការសម្រាកកាយនិងចិត្តដ៏ជ្រាលជ្រៅបំផុត ក្នុងសភាពដែលចិត្តដាច់ស្រឡះពីអារម្មណ៍ជំពាក់ជំពិនទាំងពួង។ សុញ្ញតវិហារធម៌. ព្រះពុទ្ធទ្រង់គង់នៅវត្តវេឡុវ័ន បានត្រាស់សួរព្រ
ឥន្ទ្របុរៈ (ខ្មែរ)	<p>យោងតាមសិលាចារឹកនៅប្រាសាទស្ដុកកក់ធំបានបញ្ជាក់ថាឥន្ទ្របុរៈ (អង់គ្លេស: Indrapura) ឬ អមរិន្ទ្របុរៈ (អង់គ្លេស: Amarendrapura) គឺជារាជធានីដំបូងនៅក្នុងរជ្ជកាលព្រះបាទជ័យវម៌្មទី ២ ប្រហែលនៅក្នុងឆ្នាំ ៧៨១ នៃគ្រិស្តសករាជមុនពេលព្រះអង្គប្រកាសបង្កើតអាណាចក្រខ្មែរជាផ្លូវការនៅក្នុងឆ្នាំ ៨០២ នៃគ្រិស្តសករាជ។</p>
ទីលានធានអានមិន	<p>ទីលានធានអានមិន គឺជាទីលានក្រុងដ៏ធំមួយនៅចំកណ្តាលក្រុងប៉េកាំង,ប្រទេសចិន ឈ្មោះនេះមានន័យថា ("ច្រកទ្វារសន្តិភាពសួគ៌") ដែលមានទីតាំងនៅភាគខាងជើង ហើយក៏ជាច្រកចូលទៅកាន់ទីក្រុងហាមឃាត់។ វាដោយគ្របបណ្ដប់លើផ្ទៃដីជាង ៤៤ ហិកតា មានប្រវែង ៨៨០ ម៉ែត្រពីជើងទៅត្បូង និង ៥០០ ម៉ែត្រពីកើតទៅលិច ។ វាត្រូវបានគេកសាងឡើងជាលើកដំបូងនៅឆ្នាំ ១៤១៧ នាសម័យរាជវង្សមិង និងដាក់ឈ្មោះថា ឆេងធានមិន វាត្រូវបានភ្លើងឆេះអស់ និងសាងសង់ឡើងវិញជាច្រើនដង ហើយក៏ជាច្រកទ្វារខាងត្បូងនៃរាជវាំង ។ ទីនេះត្រូវបានគេកសាងឡើងវិញនៅឆ្នាំ ១៦៥០ ហើយក្រោយមកត្រូវបានកាន់កា
លីគកំពូលកម្ពុជា ឆ្នាំ២០២៤–២៥	<p>លីគកំពូលកម្ពុជា ឆ្នាំ២០២៤-២៥ គឺជារដូវកាលទី៤០ នៃ លីគកំពូលកម្ពុជា ដែលជាលីគអាជីពកំពូលរបស់កម្ពុជាសម្រាប់ក្លឹបបាល់ទាត់សមាគម ចាប់តាំងពីការបង្កើតឡើងក្នុងឆ្នាំ១៩៨២។ រដូវកាលនេះបានចាប់ផ្តើមនៅថ្ងៃទី ១៩ ខែសីហា ឆ្នាំ ២០២៤ និងបានបញ្ចប់នៅថ្ងៃទី ១៨ ខែឧសភា ឆ្នាំ ២០២៥។ ក្រុមចំនួន ១១ បានចូលរួមប្រកួតជម្រុះពីរដង មុនពេលបន្តទៅវគ្គបន្ត។ ក្រុម ឡាយហ្វ ខេត្តព្រះសីហនុ និង ក្រសួងមហាផ្ទៃ ត្រូវបានឡើងមក លីគកំពូលកម្ពុជារដូវកាល ២០២៣-២៤ ។ ព្រះខ័នរាជស្វាយរៀង គឺជាក្រុមការពារតំណែងជើងឯក ហើយបានរក្សាតំណែងជើងឯករបស់ខ្លួន ដោយឈ្នះជាលើកទ
រឿងផ្កាស្រពោនវគ្គទី៧	<p>ប៉ឹង!ប៉ឹង!ប៉ឹង! សូរជួងអ្នកចាំទ្វារវិទ្យាល័យ ប្រកាសប្រាប់អ្នកផងថាម៉ោង ៩ និង ១៥ នាទីហើយ ។ អនុរក្សទះដៃផូងៗ លាន់រំពង ដើម្បីឱ្យពួកយុវជនដឹងច្បាស់ថា ជាពេលត្រូវទម្លាក់មុងដេករៀងៗខ្លួន ។ សព្ទអ៊ូអរអំបាញ់មិញក៏រម្ងាប់ស្ងាត់ស្ងៀមម្ដងបន្តិច ។ នៅសល់តែសំឡេងខ្សឹបខ្សាវ ។ ឬសូរខ្យល់ផាត់ស្លឹកឈើ និងមាត់មៀមយំម្ដងៗ ។ គេពន្លត់អគ្គិសនីទាំងអស់ទុកតែដួងមួយដែលព្យួរបន្តោងនៅក្បែរដំណេកនៃអនុរក្ស ។ ប៊ុនធឿន ដែលមានគ្រែនៅចុងម្ខាងនៃល្វេងនោះ បានក្រោកឡើងស្រវារកទៀននិងឈើគូសមកអុជ ហើយរើហោប៉ៅអាវដែលព្យួរនៅលើក្បាលដំណេក យករូបថតដែលនាងវិធាវីបា
ឡាយហ្វ ខេត្តព្រះសីហនុ	<p>ក្លឹបបាល់ទាត់ ឡាយហ្វ ខេត្តព្រះសីហនុ គឺជាក្លឹប បាល់ទាត់ អាជីពមួយដែលមានមូលដ្ឋាននៅ ក្រុងព្រះសីហនុ ខេត្តព្រះសីហនុ ប្រទេសកម្ពុជា ។ វាលេងក្នុង លីគកំពូលកម្ពុជា ក្នុង រដូវកាល ២០២៤-២៥ បន្ទាប់ពីឡើងមកពីលីគលំដាប់ទីពីរ។</p>
ម៉ៃឃើល អូលីហ្សេ	<p>ម៉ៃឃើល អាកប៉ូវី អូលីហ្សេ (; ; ; ; កើតថ្ងៃទី ១២ ខែធ្នូ ឆ្នាំ ២០០១) គឺជា កីឡាករបាល់ទាត់ អាជីពដែលលេងជា ខ្សែបម្រើស្លាប ឬ ខ្សែបម្រើប្រយុទ្ធ សម្រាប់ក្លឹប Bayern Munich ។ កើតនៅប្រទេសអង់គ្លេស គាត់លេងឱ្យ ក្រុមជម្រើសជាតិបារាំង ។ គាត់ត្រូវបានគេចាត់ទុកថាជាកីឡាករល្អបំផុតម្នាក់ក្នុងលោក។ ដោយ​ជា​ផលិតផល​នៃ ​សាលា​បាល់ទាត់ ​អង់គ្លេស​ជាច្រើន អូលីហ្សេ បាន​បង្ហាញ​ខ្លួន​ក្នុង​អាជីព​លើក​ដំបូង​សម្រាប់​ក្លឹប Reading ក្នុង​លីគ​លំដាប់​ទី​ពីរ ​ក្នុង​ឆ្នាំ ២០១៩។ នៅឆ្នាំ ២០២១ គាត់ត្រូវបានចុះហត្ថលេខាដោយក្លឹប Crystal Palace
ប្រ៊ុយណូ ហ្គីម៉ារ៉េស	<p>ប៊្រូណូ ហ្គីម៉ារ៉េស រ៉ូទ្រីហ្គេស ម៉ូរ៉ា (ការបញ្ចេញសំឡេងភាសាព័រទុយហ្គាល់ប្រេស៊ីល៖ [ˈbɾũ.nu ɡi.maˈɾɐ̃j̃s] កើតថ្ងៃទី 16 ខែវិច្ឆិកា ឆ្នាំ 1997) គឺជា កីឡាករបាល់ទាត់ អាជីពជនជាតិប្រេស៊ីល ដែលលេងជា ខ្សែបម្រើ សម្រាប់ក្លឹប Newcastle United ដែលគាត់ ជាប្រធានក្រុម និង ក្រុមជម្រើសជាតិប្រេស៊ីល ។ ហ្គីម៉ារ៉េស បានចាប់ផ្តើមអាជីពរបស់គាត់ជាមួយ Athletico Paranaense មុនពេលផ្លាស់ទៅ Lyon ក្នុងឆ្នាំ ២០២០ និង Newcastle United ក្នុងឆ្នាំ ២០២២។</p>
ម៉ាទីន អូដេហ្គាដ	<p>ម៉ាទីន អូដេហ្គាដ (កើតថ្ងៃទី ១៧ ខែធ្នូ ឆ្នាំ ១៩៩៨) គឺជា កីឡាករបាល់ទាត់ អាជីពជនជាតិន័រវេស ដែលលេងជា ខ្សែបម្រើ និង ជាប្រធានក្រុម ទាំងក្លឹប Arsenal ក្នុងលីគកំពូលអង់គ្លេស និង ក្រុមជម្រើសជាតិន័រវេស ។ អូដេហ្គាដ បានចាប់ផ្តើមអាជីពក្លឹបជាន់ខ្ពស់របស់គាត់នៅអាយុ 15 ឆ្នាំក្នុងឆ្នាំ 2014 ដោយលេងឱ្យ Strømsgodset ; គាត់បានបង្កើតកំណត់ត្រា Tippeligaen សម្រាប់អ្នករកគ្រាប់បាល់ក្មេងជាងគេ ហើយនៅឆ្នាំ 2015 គាត់បានចុះកុងត្រាជាមួយ Real Madrid ក្នុង ការផ្ទេរ ដែលមានតម្លៃដំបូង 4 អឺរ៉ូ។ លាន (35 លាន រៀល), ជាកន្លែងដែលគាត់បានបង
អេនថូនី ហ្គរដុន (កីឡាករបាល់ទាត់)	<p>អេនថូនី ម៉ៃឃើល ហ្គរដុន (កើតថ្ងៃទី 24 ខែកុម្ភៈ ឆ្នាំ 2001) គឺជា កីឡាករបាល់ទាត់ អាជីពអង់គ្លេស ដែលលេងជាចម្បងជា ខ្សែបម្រើស្លាប សម្រាប់ក្លឹប Barcelona ក្នុងលី គ La Liga និង ក្រុមជម្រើសជាតិអង់គ្លេស ។ ហ្គរដុន បានចាប់ផ្តើមអាជីពជាកីឡាកររបស់គាត់ជាមួយ ក្រុម Everton ដោយបានបង្ហាញខ្លួនជាលើកដំបូងនៅក្នុងខែធ្នូ ឆ្នាំ 2017 ក្នុងការប្រកួត Europa League មុនពេលចូលរួមជាមួយ ក្រុម Newcastle United ក្នុងឆ្នាំ 2023។ នៅឆ្នាំ 2026 គាត់បានចូលរួមជាមួយក្លឹបអេស្ប៉ាញ Barcelona។</p>
