twelve tribes of Israel	 <h3>Related Ideas:</h3> <p>children of Israel, descendants of Israel, people of Israel, twelve tribes, twelve tribes of the children of Israel, twelve tribes of the sons of Israel</p> <h3>Definition:</h3> <p>The term "twelve tribes of Israel" refers to the twelve sons of Jacob and their descendants.</p> <ul> <li>Jacob was Abraham's grandson. God later changed Jacob's name to Israel.</li> <li>These are the names of the tribes: Reuben, Simeon, Levi, Judah, Dan, Naphtali, Gad, Asher, Issachar, Zebulun, Joseph and Benjamin.</li> <li>The descendants of Levi did not inherit any land in Canaan because they were a tribe of priests who were set apart to serve God and his people.</li> <li>Joseph received a double inheritance of land, which was passed on to his two sons, Ephraim and Manasseh.</li> <li>There are several places in the Bible where the list of the twelve tribes is slightly different. Sometimes Levi, Joseph, or Dan is left out of the list and sometimes Joseph's two sons Ephraim and Manasseh are included in the list.</li> </ul> <p>(See also: <p-a>inherit</p-a>, <p-a>Israel</p-a>, <p-a>Jacob</p-a>, <p-a>priest</p-a>, <p-a>tribe</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>act 26:7</p-a></li> <li><p-a>gen 49:28</p-a></li> <li><p-a>luk 22:28</p-a></li> <li><p-a>mat 19:28</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H1121, H3478, H7626, H8147, G1427, G2474, G5443</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>children of Israel, descendants of Israel, people of Israel, twelve tribes, twelve tribes of Israel, twelve tribes of the children of Israel, twelve tribes of the sons of Israel</p>  
Aaron	 <h3>Facts:</h3> <p>Aaron was Moses' older brother. God chose Aaron to be the first high priest for the people of Israel.</p> <ul> <li>Aaron helped Moses speak to Pharaoh about letting the Israelites go free.</li> <li>While the Israelites were traveling through the desert, Aaron sinned by making an idol for the people to worship.</li> <li>God also appointed Aaron and his descendants to be the priests for the people of Israel.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <p>(See also: <p-a>priest</p-a>, <p-a>Moses</p-a>, <p-a>Israel</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>1ch 23:14</p-a></li> <li><p-a>act 7:38</p-a></li> <li><p-a>exo 28:1</p-a></li> <li><p-a>luk 1:5</p-a></li> <li><p-a>num 16:45</p-a></li> </ul>  <h3>Word Data:</h3> <ul> <li>Strong's: H175, G2</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Aaron, Aaron's</p>  
Abel	 <h3>Facts:</h3> <p>Abel was Adam and Eve's second son. He was Cain's younger brother.</p> <ul> <li>Abel was a shepherd.</li> <li>Abel sacrificed some of his animals as an offering to God.</li> <li>God was pleased with Abel and his offerings.</li> <li>Adam and Eve's firstborn son Cain murdered Abel.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <p>(See also: <p-a>Cain</p-a>, <p-a>sacrifice</p-a>, <p-a>shepherd</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>gen 4:2</p-a></li> <li><p-a>gen 4:9</p-a></li> <li><p-a>heb 12:24</p-a></li> <li><p-a>luk 11:49</p-a></li> <li><p-a>mat 23:35</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H1893, G6</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abel, Abel's</p>  
Abiathar	 <h3>Facts:</h3> <p>Abiathar was a high priest for the nation of Israel during the time of King David.</p> <ul> <li>When King Saul killed the priests, Abiathar escaped and went to David in the wilderness.</li> <li>Abiathar and another high priest named Zadok served David faithfully throughout his reign.</li> <li>After David's death, Abiathar helped Adonijah try to become king instead of Solomon.</li> <li>Because of this, King Solomon removed Abiathar from the priesthood.</li> </ul> <p>(See also: <p-a>Zadok</p-a>, <p-a>Saul (OT)</p-a>, <p-a>David</p-a>, <p-a>Solomon</p-a>, <p-a>Adonijah</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>1ch 27:32</p-a></li> <li><p-a>1ki 1:7</p-a></li> <li><p-a>1ki 2:22</p-a></li> <li><p-a>2sa 17:15</p-a></li> <li><p-a>MAR 2:25</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H54, G8</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abiathar, Abiathar's</p>  
Abijah	 <h3>Facts:</h3> <p>Abijah was a king of Judah who reigned from 915 to 913 B.C. He was a son of King Rehoboam. There were also several other men named Abijah in the Old Testament:</p> <ul> <li>Samuel's sons Abijah and Joel were leaders over the people of Israel at Beersheba. Because Abijah and his brother were dishonest and greedy, the people asked Samuel to appoint a king to rule them instead.</li> <li>Abijah was one of the temple priests during the time of King David.</li> <li>Abijah was one of King Jeroboam's sons.</li> <li>Abijah was also a chief priest who returned with Zerubbabel to Jerusalem from the Babylonian captivity.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>1ki 15:3</p-a></li> <li><p-a>1sa 8:1</p-a></li> <li><p-a>2ch 13:2</p-a></li> <li><p-a>2ch 13:19</p-a></li> <li><p-a>luk 1:5</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H29, G7</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abijah, Abijah's</p>  
Abimelek	 <h3>Facts:</h3> <p>Abimelek was a Philistine king over the region of Gerar during the time when Abraham and Isaac were living in the land of Canaan.</p> <ul> <li>Abraham deceived King Abimelek by telling him that Sarah was his sister rather than his wife.</li> <li>Abraham and Abimelek made an agreement regarding ownership of wells at Beersheba.</li> <li>Many years later, Isaac also deceived Abimelek and the other men of Gerar by saying that Rebekah was his sister, not his wife.</li> <li>King Abimelek rebuked Abraham, and later Isaac, for lying to him.</li> <li>Another man by the name of Abimelek was a son of Gideon and a brother of Jotham. Some translations may use a slightly different spelling of his name to make it clear that he is a different person from King Abimelek.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <p>(See also: <p-a>Beersheba</p-a>, <p-a>Gerar</p-a>, <p-a>Gideon</p-a>, <p-a>Jotham</p-a>, <p-a>Philistines</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>2sa 11:21</p-a></li> <li><p-a>gen 20:3</p-a></li> <li><p-a>gen 20:5</p-a></li> <li><p-a>gen 21:22</p-a></li> <li><p-a>gen 26:11</p-a></li> <li><p-a>jdg 9:54</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H40</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abimelek, Abimelek's</p>  
Abner	 <h3>Facts:</h3> <p>Abner was a cousin of King Saul in the Old Testament.</p> <ul> <li>Abner was the chief commander of Saul's army, and introduced young David to Saul after David killed Goliath the giant.</li> <li>After King Saul's death, Abner appointed Saul's son Ishbosheth as king in Israel, while David was appointed king in Judah.</li> <li>Later, Abner was treacherously killed by David's chief commander, Joab.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>1ch 26:26</p-a></li> <li><p-a>1ki 2:5</p-a></li> <li><p-a>1ki 2:32</p-a></li> <li><p-a>1sa 17:55</p-a></li> <li><p-a>2sa 3:22</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H74</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abner, Abner's</p>  
abomination	 <h3>Related Ideas:</h3> <p>abominable, abominably, disgusting, foul</p> <h3>Definition:</h3> <p>The term "abomination" is used to refer to something that causes disgust or extreme dislike.</p> <ul> <li>The Egyptians considered the Hebrew people to be an "abomination." This means that the Egyptians disliked the Hebrews and didn't want to associate with them or be near them.</li> <li>Some of the things that the Bible calls "an abomination to Yahweh" include lying, pride, sacrificing humans, worship of idols, murder, and sexual sins such as adultery and homosexual acts.</li> <li>In teaching his disciples about the end times, Jesus referred to a prophecy by the prophet Daniel about an "abomination of desolation" that would be set up as a rebellion against God, defiling his place of worship.</li> </ul> <h3>Translation Suggestions:</h3> <ul> <li>The term "abomination" could also be translated by "something God hates" or "something disgusting" or "disgusting practice" or "very evil action."</li> <li>Depending on the context, ways to translate the phrase "is an abomination to" could include "is greatly hated by" or "is disgusting to" or "is totally unacceptable to" or "causes deep disgust."</li> <li>The phrase "abomination of desolation" could be translated as "defiling object that causes people to be greatly harmed" or "disgusting thing that causes great sorrow."</li> </ul> <p>(See also: <p-a>adultery</p-a>, <p-a>desecrate</p-a>, <p-a>desolate</p-a>, <p-a>false god</p-a>, <p-a>sacrifice</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>ezr 9:1</p-a></li> <li><p-a>gen 46:34</p-a></li> <li><p-a>isa 1:13</p-a></li> <li><p-a>mat 24:15</p-a></li> <li><p-a>pro 26:25</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H6292, H8251, H8262, H8263, H8441, H8581, G946</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>abominable, abomination, abominations, committed ... abominably, disgusting practices, disgusting thing, disgusting things, foul, foul thing</p>  
Abraham	 <h3>Related Words:</h3> <p>Abram</p> <h3>Facts:</h3> <p>Abram was a Chaldean man from the city of Ur who was chosen by God to be the forefather of the Israelites. God changed his name to "Abraham."</p> <ul> <li>The name "Abram" means "exalted father."</li> <li>"Abraham" means "father of many."</li> <li>God promised Abraham that he would have many descendants, who would become a great nation.</li> <li>Abraham believed God and obeyed him. God led Abraham to move from Chaldea to the land of Canaan.</li> <li>Abraham and his wife Sarah, when they were very old and living in the land of Canaan, had a son, Isaac.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <p>(See also: <p-a>Canaan</p-a>, <p-a>Chaldea</p-a>, <p-a>Sarah</p-a>, <p-a>Isaac</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>gal 3:8</p-a></li> <li><p-a>gen 11:29</p-a></li> <li><p-a>gen 21:4</p-a></li> <li><p-a>gen 22:2</p-a></li> <li><p-a>JAM 2:23</p-a></li> <li><p-a>mat 1:2</p-a></li> </ul>  <h3>Word Data:</h3> <ul> <li>Strong's: H87, H85, G11</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Abraham, Abraham's, Abram</p>  
Absalom	 <h3>Facts:</h3> <p>Absalom was the third son of King David. He was known for his handsome appearance and fiery temperament.</p> <ul> <li>When Absalom's sister Tamar was raped by their half-brother, Amnon, Absalom made a plan to have Amnon killed.</li> <li>After the murder of Amnon, Absalom fled to the region of Geshur (where his mother Maacah was from) and stayed there three years. Then King David sent for him to come back to Jerusalem, but did not allow Absalom to come into his presence for two years.</li> <li>Absalom turned some of the people against King David and led a revolt against him.</li> <li>David's army fought against Absalom and killed him. David was very grieved when this happened.</li> </ul> <p>(Translation suggestions: <p-a>translate-names</p-a>)</p> <p>(See also: <p-a>Geshur</p-a>, <p-a>Amnon</p-a>)</p> <h3>Bible References:</h3> <ul> <li><p-a>1ch 3:1</p-a></li> <li><p-a>1ki 1:6</p-a></li> <li><p-a>2sa 15:2</p-a></li> <li><p-a>2sa 17:1</p-a></li> <li><p-a>2sa 18:18</p-a></li> <li><p-a>psa 3:1</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: H53</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>Absalom, Absalom's</p>  
abyss	 <h3>Related Ideas:</h3> <p>bottomless pit</p> <h3>Definition:</h3> <p>The term "abyss" refers to a very large, deep hole or chasm that has no bottom.</p> <ul> <li>In the Bible, "the abyss" is a place of punishment.</li> <li>For example, when Jesus commanded evil spirits to come out of a man, they begged him not to send them to the abyss.</li> <li>The word "abyss" could also be translated as "bottomless pit" or "deep chasm."</li> <li>This term should be translated differently from "hades," "sheol," or "hell."</li> </ul> <p>(See Also: <p-a>Hades</p-a>, <p-a>hell</p-a>, <p-a>punish</p-a>)</p> <h3>Picture of Abyss:</h3> <p><p-a></p-a></p> <h3>Bible References:</h3> <ul> <li><p-a>luk 8:30</p-a></li> <li><p-a>rom 10:7</p-a></li> </ul> <h3>Word Data:</h3> <ul> <li>Strong's: G12, G5421</li> </ul> <h3>Forms Found in the English ULB:</h3> <p>abyss, bottomless pit</p>  
