a	<ol><li>with, <p-eg> Bausyi bakali kunyema kufwumbwa babona mwanaabo musimbi kaenda amusankwa. = Her father was angry whenever he saw his daughter walking with a boy. Aano mazuba tupona muciindi ncotulibonena ameso eesu mbuli zintu mbozisanduka. = Nowadays we live in a time when we see with our own eyes how things change. </p-eg></li><li> on, <p-eg> Civwubwe tajisi boya amubili. = The hippo does not have hair on it's body. Kobikka zisani zyangu abulo. = Put my clothes on the bed. </p-eg></li><li> and, <p-eg> Moonga a Cheepa bakaunka ku Monze. = Moonga and Cheepa went to Monze. </p-eg></li><li> of, <p-eg> Bacibize mmabbiza amusyokwe. = Zebras are the horses of the bush. (Note: if three vowels occur, one is elided) Isumo lyamwami ndilamfwu. = The spear of the chief is long. </p-eg></li><li> at, <p-eg> Nibakasika amunzi bakalikatede. = When they arrived <p-l>at</p-l> the village, they were tired.</p-eg></li></ol>
aa	<ol><li>for, <p-eg> Aaya mmasembe <p-l>aacibwa-</p-l> ntu. = These roughly crushed grains are for sweet-beer. </p-eg></li><li> of, <p-eg> Masizi aamulilo alapya. = The embers of the fire are hot. Mayi aankuku mmabotu kulya. = The eggs of chickens are good to eat.</p-eg></li></ol>
aaba	<ol><li>these (mu-ba noun-class) <p-eg>Aaba bana balakatazya. = These children are troublesome.</p-eg></li></ol>
aabo	<ol><li>those, <p-eg> <p-l>Aabo</p-l> bayanda kulwana. = Those want to fight. </p-eg></li></ol>
Aaccu!	<ol><li>(exclamation) conveys surprise, disappointment, disapproval etc. depending on context.</li></ol>
aafwiifwi	<ol><li>near, <p-eg> <p-l>Mwiinga</p-l> wakalikukkala afwiifwi amunzi wa Haakoola. = Mwiinga was living near the village of Haakoola </p-eg></li></ol>
aaka	<ol><li>this one, <p-eg> <p-l>Aaka</p-l> kana kalasesya. = This child is amusing.</p-eg></li></ol>
aakale	<ol><li>later on, <p-eg> Basicikolo balalya akale, kutali ino. = The pupils will eat later on, not now. Tulabonana akale, zuba licili lipati. = We will see one another later on, the sun is still high. Tulaunka akale kumuunda, ileke mvwula. = We will go later to the field, let the rain stop.</p-eg></li></ol>
aako	<ol><li>that one, <p-eg>Kokaleta kana ako. = Bring that little child here.</li></ol>
aakwe	<ol><li>his/hers, <p-eg> Mapopwe aakwe akaligwa nombe. = His maize was eaten by the cattle.</p-eg></li></ol>
-aalo	<ol><li>they also, <p-eg> Zitende zyakaunka mulonga, <p-l>aalo</p-l> matanga akaunka. = The pumpkins were taken away by the river, the melons were taken as well. </p-eg></li><li> only, <p-eg> Insima yamana mucibiya, kwacaala makololo <p-l>aalo</p-l>. = The nsima is finished in the pot, there remains only the leavings.</p-eg></li></ol>
aalya	<ol><li>that time, <p-eg> Cakali ciindi camangolezya, <p-l>aalya</p-l> bantu mpobamanina kulya nsima. = It was evening time, that very time when people finish eating nsima. </p-eg></li><li> those over there. <p-eg> <p-l>Aalya</p-l> makwaambala alalula. = Those cucumbers over there are bitter.</p-eg></li></ol>
